txn_id,worker_id,txn_ts,direction,amount_cad,category,merchant_type,channel,is_essential,running_balance_cad,notes
T-00018,W-0081,2026-04-01T07:09:00,debit,1799.91,housing,landlord,debit_card,1,3789.29,obligation_id=O-00037
T-00019,W-0206,2026-04-01T07:09:00,debit,809.13,childcare,utility,debit_card,1,34.25,obligation_id=O-00135
T-00020,W-0002,2026-04-01T07:10:00,debit,60.62,phone,utility,debit_card,1,1611.95,obligation_id=O-00237
T-00021,W-0012,2026-04-01T07:10:00,debit,49.98,phone,utility,debit_card,1,6054.41,obligation_id=O-00165
T-00022,W-0035,2026-04-01T07:10:00,debit,86.33,phone,utility,debit_card,1,4597.5,obligation_id=O-00460
T-00023,W-0115,2026-04-01T07:10:00,debit,630.73,childcare,utility,debit_card,1,2106.21,obligation_id=O-00663
T-00024,W-0128,2026-04-01T07:10:00,debit,536.19,childcare,utility,debit_card,1,2002.68,obligation_id=O-00522
T-00025,W-0154,2026-04-01T07:10:00,debit,1241.62,housing,landlord,debit_card,1,3143.11,obligation_id=O-00765
T-00026,W-0165,2026-04-01T07:10:00,debit,1815.35,housing,landlord,debit_card,1,2471.76,obligation_id=O-00721
T-00027,W-0183,2026-04-01T07:10:00,debit,1057.02,childcare,utility,debit_card,1,2640.29,obligation_id=O-00329
T-00028,W-0200,2026-04-01T07:10:00,debit,56.36,groceries,grocery,credit_card,1,3365.36,
T-00029,W-0209,2026-04-01T07:10:00,debit,2129.38,housing,landlord,debit_card,1,4244.62,obligation_id=O-00245
T-00030,W-0217,2026-04-01T07:10:00,debit,448.53,childcare,utility,debit_card,1,4822.86,obligation_id=O-00613
T-00031,W-0033,2026-04-01T07:11:00,debit,903.7,childcare,utility,debit_card,1,4236.81,obligation_id=O-00760
T-00032,W-0083,2026-04-01T07:11:00,debit,1253.08,housing,landlord,debit_card,1,4698.18,obligation_id=O-00199
T-00033,W-0094,2026-04-01T07:11:00,debit,65.82,phone,utility,debit_card,1,6054.57,obligation_id=O-00689
T-00034,W-0136,2026-04-01T07:11:00,debit,648.94,childcare,utility,debit_card,1,4508.2,obligation_id=O-00637
T-00035,W-0166,2026-04-01T07:11:00,debit,58.04,phone,utility,debit_card,1,5412.95,obligation_id=O-00614
T-00036,W-0168,2026-04-01T07:11:00,debit,80.41,phone,utility,debit_card,1,4173.03,obligation_id=O-00170
T-00037,W-0170,2026-04-01T07:11:00,debit,1426.4,housing,landlord,debit_card,1,4483.68,obligation_id=O-00418
T-00038,W-0171,2026-04-01T07:11:00,debit,945.76,housing,landlord,debit_card,1,2083.25,obligation_id=O-00507
T-00039,W-0177,2026-04-01T07:11:00,debit,1602.93,housing,landlord,debit_card,1,1921.23,obligation_id=O-00356
T-00040,W-0182,2026-04-01T07:11:00,debit,45.65,phone,utility,debit_card,1,1742.44,obligation_id=O-00024
T-00041,W-0187,2026-04-01T07:11:00,debit,1365.35,housing,landlord,debit_card,1,518.08,obligation_id=O-00315
T-00042,W-0028,2026-04-01T07:12:00,debit,674.88,childcare,utility,debit_card,1,926.59,obligation_id=O-00766
T-00043,W-0032,2026-04-01T07:12:00,debit,500.64,childcare,utility,debit_card,1,3316.08,obligation_id=O-00565
T-00044,W-0032,2026-04-01T07:12:00,debit,1148.55,housing,landlord,debit_card,1,2167.53,obligation_id=O-00645
T-00045,W-0039,2026-04-01T07:12:00,debit,826.11,childcare,utility,debit_card,1,5603.31,obligation_id=O-00731
T-00046,W-0041,2026-04-01T07:12:00,debit,94.64,phone,utility,debit_card,1,4077.33,obligation_id=O-00546
T-00047,W-0058,2026-04-01T07:12:00,debit,2178.78,housing,landlord,debit_card,1,3881.33,obligation_id=O-00328
T-00048,W-0060,2026-04-01T07:12:00,debit,950.34,childcare,utility,debit_card,1,1549.84,obligation_id=O-00455
T-00049,W-0065,2026-04-01T07:12:00,debit,1583.15,housing,landlord,debit_card,1,2137.86,obligation_id=O-00463
T-00050,W-0108,2026-04-01T07:12:00,debit,55.44,phone,utility,debit_card,1,5417.18,obligation_id=O-00620
T-00051,W-0109,2026-04-01T07:12:00,debit,1646.25,housing,landlord,debit_card,1,3394.31,obligation_id=O-00534
T-00052,W-0112,2026-04-01T07:12:00,debit,1465.35,housing,landlord,debit_card,1,1223.89,obligation_id=O-00595
T-00053,W-0126,2026-04-01T07:12:00,debit,62.22,phone,utility,debit_card,1,2580.26,obligation_id=O-00453
T-00054,W-0140,2026-04-01T07:12:00,debit,50.24,phone,utility,debit_card,0,2340.09,obligation_id=O-00740
T-00055,W-0163,2026-04-01T07:12:00,debit,559.17,childcare,utility,debit_card,1,5776.3,obligation_id=O-00533
T-00056,W-0173,2026-04-01T07:12:00,debit,415.17,childcare,utility,debit_card,1,4968.11,obligation_id=O-00015
T-00057,W-0194,2026-04-01T07:12:00,debit,1809.79,housing,landlord,debit_card,1,3572.54,obligation_id=O-00703
T-00058,W-0207,2026-04-01T07:12:00,debit,1018.69,childcare,utility,debit_card,0,1971.55,obligation_id=O-00032
T-00059,W-0011,2026-04-01T07:13:00,debit,80.12,phone,utility,debit_card,1,1917.18,obligation_id=O-00155
T-00060,W-0036,2026-04-01T07:13:00,debit,430.42,childcare,utility,debit_card,1,3327.62,obligation_id=O-00369
T-00061,W-0080,2026-04-01T07:13:00,debit,1372.03,housing,landlord,debit_card,1,3106.16,obligation_id=O-00011
T-00062,W-0111,2026-04-01T07:13:00,debit,2065.48,housing,landlord,debit_card,1,1487.84,obligation_id=O-00282
T-00063,W-0124,2026-04-01T07:13:00,debit,980.39,childcare,utility,debit_card,1,3729.44,obligation_id=O-00331
T-00064,W-0129,2026-04-01T07:13:00,debit,792.27,childcare,utility,debit_card,1,506.39,obligation_id=O-00112
T-00065,W-0131,2026-04-01T07:13:00,debit,596.51,childcare,utility,debit_card,0,3813.93,obligation_id=O-00562
T-00066,W-0191,2026-04-01T07:13:00,debit,62.72,phone,utility,debit_card,1,3995.01,obligation_id=O-00256
T-00067,W-0210,2026-04-01T07:13:00,debit,55.38,phone,utility,debit_card,1,1721.2,obligation_id=O-00341
T-00068,W-0217,2026-04-01T07:13:00,debit,57.51,phone,utility,debit_card,1,4765.35,obligation_id=O-00263
T-00069,W-0220,2026-04-01T07:13:00,debit,967.15,childcare,utility,debit_card,1,2515.07,obligation_id=O-00750
T-00070,W-0019,2026-04-01T07:14:00,debit,92.36,phone,utility,debit_card,1,1429.52,obligation_id=O-00008
T-00071,W-0113,2026-04-01T07:14:00,debit,1298.93,housing,landlord,debit_card,1,5086.25,obligation_id=O-00737
T-00072,W-0128,2026-04-01T07:14:00,debit,76.17,phone,utility,debit_card,1,1926.51,obligation_id=O-00336
T-00073,W-0136,2026-04-01T07:14:00,debit,1838.48,housing,landlord,debit_card,1,2669.72,obligation_id=O-00794
T-00074,W-0197,2026-04-01T07:14:00,debit,85.76,phone,utility,debit_card,0,3182.9,obligation_id=O-00334
T-00075,W-0199,2026-04-01T07:14:00,debit,1342.18,housing,landlord,debit_card,1,1380.83,obligation_id=O-00115
T-00076,W-0199,2026-04-01T07:14:00,debit,729.35,childcare,utility,debit_card,1,651.48,obligation_id=O-00524
T-00077,W-0207,2026-04-01T07:14:00,debit,57.47,phone,utility,debit_card,1,1914.08,obligation_id=O-00502
T-00078,W-0216,2026-04-01T07:14:00,debit,1755.27,housing,landlord,debit_card,1,2063.77,obligation_id=O-00068
T-00079,W-0095,2026-04-01T07:15:00,debit,1920.13,housing,landlord,debit_card,1,1911.02,obligation_id=O-00477
T-00080,W-0156,2026-04-01T07:15:00,debit,61.81,phone,utility,debit_card,1,2298.69,obligation_id=O-00423
T-00081,W-0161,2026-04-01T07:15:00,debit,775.23,childcare,utility,debit_card,1,4100.25,obligation_id=O-00103
T-00082,W-0174,2026-04-01T07:15:00,debit,2120.87,housing,landlord,debit_card,1,-887.59,obligation_id=O-00429
T-00083,W-0189,2026-04-01T07:15:00,debit,1043.48,housing,landlord,debit_card,1,3827.01,obligation_id=O-00304
T-00084,W-0040,2026-04-01T07:16:00,debit,1377.71,housing,landlord,debit_card,1,1124.25,obligation_id=O-00411
T-00085,W-0049,2026-04-01T07:16:00,debit,53.78,phone,utility,debit_card,1,5637.87,obligation_id=O-00784
T-00086,W-0055,2026-04-01T07:16:00,debit,2116.11,housing,landlord,debit_card,1,3210.3,obligation_id=O-00768
T-00087,W-0067,2026-04-01T07:16:00,debit,1483.33,housing,landlord,debit_card,1,3146.5,obligation_id=O-00417
T-00088,W-0073,2026-04-01T07:16:00,debit,91.77,phone,utility,debit_card,1,2380.71,obligation_id=O-00688
T-00089,W-0113,2026-04-01T07:16:00,debit,981.71,childcare,utility,debit_card,1,4104.54,obligation_id=O-00608
T-00090,W-0123,2026-04-01T07:16:00,debit,1060.73,housing,landlord,debit_card,1,4451.31,obligation_id=O-00444
T-00091,W-0139,2026-04-01T07:16:00,debit,1135.57,childcare,utility,debit_card,1,3452.52,obligation_id=O-00523
T-00092,W-0146,2026-04-01T07:16:00,debit,58.55,phone,utility,debit_card,1,4322.51,obligation_id=O-00221
T-00093,W-0152,2026-04-01T07:16:00,debit,87.87,phone,utility,debit_card,1,5660.45,obligation_id=O-00101
T-00094,W-0157,2026-04-01T07:16:00,debit,1085.92,housing,landlord,debit_card,1,5346.84,obligation_id=O-00119
T-00095,W-0188,2026-04-01T07:16:00,debit,460.33,childcare,utility,debit_card,1,3789.31,obligation_id=O-00095
T-00096,W-0196,2026-04-01T07:16:00,debit,905.76,childcare,utility,debit_card,1,632.69,obligation_id=O-00612
T-00097,W-0210,2026-04-01T07:16:00,debit,570.73,childcare,utility,debit_card,1,1150.47,obligation_id=O-00099
T-00098,W-0070,2026-04-01T07:17:00,debit,1340.76,housing,landlord,debit_card,1,4297.78,obligation_id=O-00097
T-00099,W-0084,2026-04-01T07:17:00,debit,91.74,phone,utility,debit_card,1,4773.91,obligation_id=O-00040
T-00100,W-0122,2026-04-01T07:17:00,debit,1766.65,housing,landlord,debit_card,1,2110.82,obligation_id=O-00540
T-00101,W-0127,2026-04-01T07:17:00,debit,1417.49,housing,landlord,debit_card,1,3802.79,obligation_id=O-00231
T-00102,W-0159,2026-04-01T07:17:00,debit,64.99,phone,utility,debit_card,1,1256.62,obligation_id=O-00426
T-00103,W-0171,2026-04-01T07:17:00,debit,69.28,phone,utility,debit_card,1,2013.97,obligation_id=O-00561
T-00104,W-0203,2026-04-01T07:17:00,debit,66.87,phone,utility,debit_card,1,5998.87,obligation_id=O-00193
T-00105,W-0208,2026-04-01T07:17:00,debit,448.25,childcare,utility,debit_card,1,1631.03,obligation_id=O-00275
T-00106,W-0002,2026-04-01T07:18:00,debit,1007.67,childcare,utility,debit_card,1,604.28,obligation_id=O-00120
T-00107,W-0054,2026-04-01T07:18:00,debit,799.07,childcare,utility,debit_card,1,4154.51,obligation_id=O-00306
T-00108,W-0058,2026-04-01T07:18:00,debit,668.67,childcare,utility,debit_card,1,3212.66,obligation_id=O-00597
T-00109,W-0068,2026-04-01T07:18:00,debit,63.06,phone,utility,debit_card,1,5791.91,obligation_id=O-00285
T-00110,W-0072,2026-04-01T07:18:00,debit,85.94,phone,utility,debit_card,1,3931.99,obligation_id=O-00777
T-00111,W-0111,2026-04-01T07:18:00,debit,904.07,childcare,utility,debit_card,1,583.77,obligation_id=O-00593
T-00112,W-0120,2026-04-01T07:18:00,debit,877.12,childcare,utility,debit_card,1,3597.53,obligation_id=O-00209
T-00113,W-0134,2026-04-01T07:18:00,debit,45.92,phone,utility,debit_card,1,4231.24,obligation_id=O-00167
T-00114,W-0149,2026-04-01T07:18:00,debit,86.38,phone,utility,debit_card,1,5664.99,obligation_id=O-00421
T-00115,W-0153,2026-04-01T07:18:00,debit,477.03,childcare,utility,debit_card,1,1103.07,obligation_id=O-00196
T-00116,W-0177,2026-04-01T07:18:00,debit,618.25,childcare,utility,debit_card,1,1302.98,obligation_id=O-00054
T-00117,W-0188,2026-04-01T07:18:00,debit,991.92,housing,landlord,debit_card,1,2797.39,obligation_id=O-00698
T-00118,W-0189,2026-04-01T07:18:00,debit,71.93,phone,utility,debit_card,1,3755.08,obligation_id=O-00224
T-00119,W-0206,2026-04-01T07:18:00,debit,47.12,phone,utility,debit_card,1,-12.87,obligation_id=O-00718
T-00120,W-0214,2026-04-01T07:18:00,debit,1044.25,housing,landlord,debit_card,1,3.62,obligation_id=O-00293
T-00121,W-0018,2026-04-01T07:19:00,debit,884.66,childcare,utility,debit_card,1,594.98,obligation_id=O-00511
T-00122,W-0045,2026-04-01T07:19:00,debit,1007.92,childcare,utility,debit_card,1,1838.09,obligation_id=O-00485
T-00123,W-0056,2026-04-01T07:19:00,debit,61.43,phone,utility,debit_card,1,4449.88,obligation_id=O-00239
T-00124,W-0080,2026-04-01T07:19:00,debit,78.15,groceries,telecom,cash,1,3028.01,
T-00125,W-0086,2026-04-01T07:19:00,debit,1835.67,housing,landlord,debit_card,1,1357.04,obligation_id=O-00673
T-00126,W-0126,2026-04-01T07:19:00,debit,1114.97,housing,landlord,debit_card,1,1465.29,obligation_id=O-00052
T-00127,W-0129,2026-04-01T07:19:00,debit,1946.74,housing,landlord,debit_card,1,-1440.35,obligation_id=O-00576
T-00128,W-0184,2026-04-01T07:19:00,debit,94.85,phone,utility,debit_card,1,4520.38,obligation_id=O-00262
T-00129,W-0195,2026-04-01T07:19:00,debit,1116.45,childcare,utility,debit_card,1,4482.57,obligation_id=O-00742
T-00130,W-0198,2026-04-01T07:19:00,debit,66.12,phone,utility,debit_card,1,2903.08,obligation_id=O-00596
T-00131,W-0013,2026-04-01T07:20:00,debit,648.24,childcare,utility,debit_card,1,4586.78,obligation_id=O-00214
T-00132,W-0022,2026-04-01T07:20:00,debit,59.54,phone,utility,debit_card,1,4186.09,obligation_id=O-00669
T-00133,W-0048,2026-04-01T07:20:00,debit,44.94,phone,utility,debit_card,1,1762.64,obligation_id=O-00201
T-00134,W-0055,2026-04-01T07:20:00,debit,56.99,phone,utility,debit_card,1,3153.31,obligation_id=O-00058
T-00135,W-0075,2026-04-01T07:20:00,debit,762.2,childcare,utility,debit_card,1,3711.4,obligation_id=O-00660
T-00136,W-0083,2026-04-01T07:20:00,debit,908.65,childcare,utility,debit_card,1,3789.53,obligation_id=O-00225
T-00137,W-0100,2026-04-01T07:20:00,debit,1000.07,childcare,utility,debit_card,1,5401.21,obligation_id=O-00364
T-00138,W-0143,2026-04-01T07:20:00,debit,702.93,childcare,utility,debit_card,1,2214.48,obligation_id=O-00048
T-00139,W-0190,2026-04-01T07:20:00,debit,1338.62,housing,landlord,debit_card,1,-392.86,obligation_id=O-00396
T-00140,W-0211,2026-04-01T07:20:00,debit,969.61,housing,landlord,debit_card,1,1179.54,obligation_id=O-00084
T-00141,W-0066,2026-04-01T07:29:00,debit,74.72,transport,utility,prepaid,1,760.9,
T-00142,W-0001,2026-04-01T07:30:00,debit,2056.0,housing,landlord,eft,1,4051.92,obligation_id=O-00001
T-00143,W-0001,2026-04-01T07:30:00,debit,66.0,phone,utility,eft,1,3985.92,obligation_id=O-00002
T-00144,W-0006,2026-04-01T07:30:00,debit,1208.84,housing,landlord,eft,1,-331.06,obligation_id=O-00715
T-00145,W-0009,2026-04-01T07:30:00,debit,503.13,childcare,utility,eft,1,3226.53,obligation_id=O-00466
T-00146,W-0009,2026-04-01T07:30:00,debit,1449.96,housing,landlord,eft,1,1776.57,obligation_id=O-00685
T-00147,W-0012,2026-04-01T07:30:00,debit,717.85,childcare,utility,eft,1,5336.56,obligation_id=O-00129
T-00148,W-0014,2026-04-01T07:30:00,debit,1574.18,housing,landlord,eft,1,4486.25,obligation_id=O-00481
T-00149,W-0015,2026-04-01T07:30:00,debit,61.95,phone,utility,eft,1,2126.86,obligation_id=O-00577
T-00150,W-0016,2026-04-01T07:30:00,debit,1019.04,housing,landlord,eft,1,4551.74,obligation_id=O-00704
T-00151,W-0017,2026-04-01T07:30:00,debit,71.0,phone,utility,eft,1,5305.69,obligation_id=O-00204
T-00152,W-0017,2026-04-01T07:30:00,debit,1679.98,housing,landlord,eft,1,3625.71,obligation_id=O-00362
T-00153,W-0019,2026-04-01T07:30:00,debit,1725.99,housing,landlord,eft,1,-296.47,obligation_id=O-00462
T-00154,W-0020,2026-04-01T07:30:00,debit,85.45,phone,utility,eft,1,3077.91,obligation_id=O-00294
T-00155,W-0020,2026-04-01T07:30:00,debit,1026.74,childcare,utility,eft,1,2051.17,obligation_id=O-00506
T-00156,W-0023,2026-04-01T07:30:00,debit,878.39,childcare,utility,eft,1,3305.67,obligation_id=O-00087
T-00157,W-0026,2026-04-01T07:30:00,debit,1043.3,housing,landlord,eft,1,2037.47,obligation_id=O-00117
T-00158,W-0029,2026-04-01T07:30:00,debit,946.01,childcare,utility,eft,1,3819.13,obligation_id=O-00205
T-00159,W-0030,2026-04-01T07:30:00,debit,64.58,phone,utility,eft,1,4451.11,obligation_id=O-00621
T-00160,W-0031,2026-04-01T07:30:00,debit,840.06,childcare,utility,eft,1,4538.2,obligation_id=O-00601
T-00161,W-0032,2026-04-01T07:30:00,debit,58.71,phone,utility,eft,1,2108.82,obligation_id=O-00212
T-00162,W-0034,2026-04-01T07:30:00,debit,872.57,childcare,utility,eft,1,4574.32,obligation_id=O-00603
T-00163,W-0036,2026-04-01T07:30:00,debit,51.84,phone,utility,eft,1,3275.78,obligation_id=O-00240
T-00164,W-0037,2026-04-01T07:30:00,debit,76.65,phone,utility,eft,1,5124.33,obligation_id=O-00159
T-00165,W-0038,2026-04-01T07:30:00,debit,1943.85,housing,landlord,eft,1,3475.45,obligation_id=O-00164
T-00166,W-0042,2026-04-01T07:30:00,debit,1236.36,housing,landlord,eft,1,1204.76,obligation_id=O-00556
T-00167,W-0044,2026-04-01T07:30:00,debit,643.8,childcare,utility,eft,1,605.76,obligation_id=O-00681
T-00168,W-0045,2026-04-01T07:30:00,debit,84.2,phone,utility,eft,1,1753.89,obligation_id=O-00309
T-00169,W-0047,2026-04-01T07:30:00,debit,53.61,phone,utility,eft,1,3319.53,obligation_id=O-00254
T-00170,W-0051,2026-04-01T07:30:00,debit,980.84,housing,landlord,eft,1,1847.34,obligation_id=O-00154
T-00171,W-0051,2026-04-01T07:30:00,debit,1173.26,childcare,utility,eft,1,674.08,obligation_id=O-00472
T-00172,W-0053,2026-04-01T07:30:00,debit,61.55,phone,utility,eft,1,1876.06,obligation_id=O-00070
T-00173,W-0056,2026-04-01T07:30:00,debit,1357.2,housing,landlord,eft,1,3092.68,obligation_id=O-00547
T-00174,W-0060,2026-04-01T07:30:00,debit,1848.47,housing,landlord,eft,1,-298.63,obligation_id=O-00029
T-00175,W-0062,2026-04-01T07:30:00,debit,1147.22,childcare,utility,eft,1,178.72,obligation_id=O-00268
T-00176,W-0063,2026-04-01T07:30:00,debit,943.09,childcare,utility,eft,1,-121.14,obligation_id=O-00203
T-00177,W-0063,2026-04-01T07:30:00,debit,1759.04,housing,landlord,eft,1,-1880.18,obligation_id=O-00573
T-00178,W-0064,2026-04-01T07:30:00,debit,1419.43,housing,landlord,eft,1,2957.69,obligation_id=O-00575
T-00179,W-0064,2026-04-01T07:30:00,debit,83.03,phone,utility,eft,1,2874.66,obligation_id=O-00654
T-00180,W-0065,2026-04-01T07:30:00,debit,82.63,phone,utility,eft,1,2055.23,obligation_id=O-00041
T-00181,W-0067,2026-04-01T07:30:00,debit,483.62,childcare,utility,eft,1,2662.88,obligation_id=O-00324
T-00182,W-0072,2026-04-01T07:30:00,debit,1131.31,housing,landlord,eft,1,2800.68,obligation_id=O-00772
T-00183,W-0074,2026-04-01T07:30:00,debit,969.38,childcare,utility,eft,0,4216.1,obligation_id=O-00379
T-00184,W-0076,2026-04-01T07:30:00,debit,87.85,phone,utility,eft,1,1862.49,obligation_id=O-00189
T-00185,W-0077,2026-04-01T07:30:00,debit,49.1,phone,utility,eft,1,1809.74,obligation_id=O-00187
T-00186,W-0078,2026-04-01T07:30:00,debit,81.99,phone,utility,eft,1,1163.1,obligation_id=O-00264
T-00187,W-0082,2026-04-01T07:30:00,debit,1199.6,housing,landlord,eft,1,4781.09,obligation_id=O-00610
T-00188,W-0087,2026-04-01T07:30:00,debit,999.98,childcare,utility,eft,1,2847.13,obligation_id=O-00604
T-00189,W-0088,2026-04-01T07:30:00,debit,2182.41,housing,landlord,eft,1,2696.75,obligation_id=O-00363
T-00190,W-0090,2026-04-01T07:30:00,debit,1277.22,housing,landlord,eft,1,875.53,obligation_id=O-00259
T-00191,W-0096,2026-04-01T07:30:00,debit,1584.86,housing,landlord,eft,1,638.2,obligation_id=O-00318
T-00192,W-0097,2026-04-01T07:30:00,debit,1079.84,childcare,utility,eft,1,5270.75,obligation_id=O-00342
T-00193,W-0099,2026-04-01T07:30:00,debit,1389.21,housing,landlord,eft,1,1279.31,obligation_id=O-00551
T-00194,W-0109,2026-04-01T07:30:00,debit,550.17,childcare,utility,eft,1,2844.14,obligation_id=O-00484
T-00195,W-0114,2026-04-01T07:30:00,debit,79.69,phone,utility,eft,1,2841.16,obligation_id=O-00449
T-00196,W-0117,2026-04-01T07:30:00,debit,47.06,phone,utility,eft,1,5635.57,obligation_id=O-00286
T-00197,W-0117,2026-04-01T07:30:00,debit,1097.55,childcare,utility,eft,1,4538.02,obligation_id=O-00747
T-00198,W-0118,2026-04-01T07:30:00,debit,956.6,childcare,utility,eft,1,2905.24,obligation_id=O-00671
T-00199,W-0121,2026-04-01T07:30:00,debit,1166.33,childcare,utility,eft,1,2705.88,obligation_id=O-00025
T-00200,W-0130,2026-04-01T07:30:00,debit,1161.85,childcare,utility,eft,1,4117.61,obligation_id=O-00493
T-00201,W-0133,2026-04-01T07:30:00,debit,64.98,phone,utility,eft,1,1509.85,obligation_id=O-00051
T-00202,W-0133,2026-04-01T07:30:00,debit,2141.54,housing,landlord,eft,1,-631.69,obligation_id=O-00746
T-00203,W-0134,2026-04-01T07:30:00,debit,920.43,childcare,utility,eft,1,3310.81,obligation_id=O-00479
T-00204,W-0135,2026-04-01T07:30:00,debit,46.89,phone,utility,eft,1,4012.5,obligation_id=O-00150
T-00205,W-0142,2026-04-01T07:30:00,debit,1412.25,housing,landlord,eft,1,3762.55,obligation_id=O-00035
T-00206,W-0142,2026-04-01T07:30:00,debit,1191.5,childcare,utility,eft,1,2571.05,obligation_id=O-00166
T-00207,W-0146,2026-04-01T07:30:00,debit,937.28,housing,landlord,eft,1,3385.23,obligation_id=O-00437
T-00208,W-0149,2026-04-01T07:30:00,debit,1186.62,childcare,utility,eft,1,4478.37,obligation_id=O-00257
T-00209,W-0150,2026-04-01T07:30:00,debit,440.03,childcare,utility,eft,1,5452.09,obligation_id=O-00592
T-00210,W-0152,2026-04-01T07:30:00,debit,1097.58,housing,landlord,eft,1,4562.87,obligation_id=O-00587
T-00211,W-0154,2026-04-01T07:30:00,debit,983.4,childcare,utility,eft,1,2159.71,obligation_id=O-00480
T-00212,W-0160,2026-04-01T07:30:00,debit,467.96,childcare,utility,eft,1,4936.66,obligation_id=O-00338
T-00213,W-0161,2026-04-01T07:30:00,debit,1648.49,housing,landlord,eft,1,2451.76,obligation_id=O-00642
T-00214,W-0164,2026-04-01T07:30:00,debit,1149.26,childcare,utility,eft,1,928.08,obligation_id=O-00542
T-00215,W-0166,2026-04-01T07:30:00,debit,534.93,childcare,utility,eft,1,4878.02,obligation_id=O-00197
T-00216,W-0167,2026-04-01T07:30:00,debit,1509.05,housing,landlord,eft,1,100.68,obligation_id=O-00180
T-00217,W-0169,2026-04-01T07:30:00,debit,86.82,phone,utility,eft,1,3728.73,obligation_id=O-00690
T-00218,W-0170,2026-04-01T07:30:00,debit,1137.48,childcare,utility,eft,1,3346.2,obligation_id=O-00351
T-00219,W-0173,2026-04-01T07:30:00,debit,1770.12,housing,landlord,eft,1,3197.99,obligation_id=O-00287
T-00220,W-0174,2026-04-01T07:30:00,debit,65.01,phone,utility,eft,1,-952.6,obligation_id=O-00399
T-00221,W-0176,2026-04-01T07:30:00,debit,585.31,childcare,utility,eft,1,5591.77,obligation_id=O-00706
T-00222,W-0177,2026-04-01T07:30:00,debit,63.82,phone,utility,eft,1,1239.16,obligation_id=O-00627
T-00223,W-0178,2026-04-01T07:30:00,debit,546.49,childcare,utility,eft,1,4254.54,obligation_id=O-00021
T-00224,W-0180,2026-04-01T07:30:00,debit,534.49,childcare,utility,eft,1,2816.78,obligation_id=O-00317
T-00225,W-0181,2026-04-01T07:30:00,debit,586.28,childcare,utility,eft,1,4057.48,obligation_id=O-00378
T-00226,W-0181,2026-04-01T07:30:00,debit,1579.04,housing,landlord,eft,1,2478.44,obligation_id=O-00657
T-00227,W-0186,2026-04-01T07:30:00,debit,1062.82,childcare,utility,eft,1,3140.82,obligation_id=O-00779
T-00228,W-0188,2026-04-01T07:30:00,debit,40.63,phone,utility,eft,1,2756.76,obligation_id=O-00432
T-00229,W-0197,2026-04-01T07:30:00,debit,1125.43,housing,landlord,eft,1,2057.47,obligation_id=O-00130
T-00230,W-0200,2026-04-01T07:30:00,debit,427.56,childcare,utility,eft,1,2937.8,obligation_id=O-00108
T-00231,W-0200,2026-04-01T07:30:00,debit,94.88,phone,utility,eft,1,2842.92,obligation_id=O-00161
T-00232,W-0201,2026-04-01T07:30:00,debit,742.77,childcare,utility,eft,1,883.45,obligation_id=O-00405
T-00233,W-0205,2026-04-01T07:30:00,debit,1822.7,housing,landlord,eft,1,1665.19,obligation_id=O-00219
T-00234,W-0208,2026-04-01T07:30:00,debit,63.53,phone,utility,eft,1,1567.5,obligation_id=O-00278
T-00235,W-0211,2026-04-01T07:30:00,debit,632.0,childcare,utility,eft,1,547.54,obligation_id=O-00290
