advance_id,worker_id,requested_at,amount_cad,fee_cad,status,repaid_at,repayment_source,reason_code
A-00029,W-0217,2026-06-24T16:56:00,71.11,3.02,repaid,2026-06-29T16:56:00,payroll,other
A-00030,W-0030,2026-06-14T14:31:00,45.58,1.99,outstanding,,,other
A-00031,W-0146,2026-05-10T17:31:00,62.96,0.0,cancelled,,,transport
A-00032,W-0002,2026-04-02T14:54:00,62.48,2.66,repaid,2026-04-10T14:54:00,next_advance,bill_due
A-00033,W-0121,2026-04-29T16:06:00,26.74,1.99,repaid,2026-05-07T16:06:00,payroll,emergency
A-00034,W-0012,2026-04-24T09:58:00,31.71,1.99,repaid,2026-05-06T09:58:00,payroll,bill_due
A-00035,W-0218,2026-06-11T22:36:00,62.08,2.64,repaid,2026-06-20T22:36:00,bank,groceries
A-00036,W-0137,2026-05-19T21:54:00,41.79,1.99,repaid,2026-05-27T21:54:00,bank,bill_due
A-00037,W-0030,2026-06-18T22:22:00,123.24,5.24,repaid,2026-06-24T22:22:00,payroll,bill_due
A-00038,W-0108,2026-04-27T17:48:00,28.44,0.0,repaid,2026-05-08T17:48:00,payroll,groceries
A-00039,W-0216,2026-05-26T07:42:00,111.16,0.0,repaid,2026-05-31T07:42:00,bank,bill_due
A-00040,W-0098,2026-05-27T16:55:00,35.91,1.99,repaid,2026-06-06T16:55:00,next_advance,shortfall
A-00041,W-0125,2026-04-12T18:17:00,88.39,0.0,outstanding,,,transport
A-00042,W-0055,2026-05-18T16:17:00,88.55,3.76,outstanding,,,emergency
A-00043,W-0116,2026-07-04T08:34:00,65.72,2.79,repaid,2026-07-11T08:34:00,payroll,groceries
A-00044,W-0092,2026-06-20T07:33:00,36.24,1.99,repaid,2026-07-02T07:33:00,next_advance,other
A-00045,W-0192,2026-05-16T13:09:00,33.05,1.99,repaid,2026-05-28T13:09:00,next_advance,bill_due
A-00046,W-0044,2026-05-08T15:58:00,56.93,2.42,repaid,2026-05-12T15:58:00,payroll,groceries
A-00047,W-0041,2026-04-07T10:59:00,38.8,1.99,repaid,2026-04-16T10:59:00,payroll,shortfall
A-00048,W-0190,2026-04-09T18:15:00,53.83,2.29,repaid,2026-04-19T18:15:00,payroll,emergency
A-00049,W-0117,2026-07-02T22:59:00,48.1,2.04,outstanding,,,other
A-00050,W-0168,2026-04-28T11:34:00,69.32,2.95,outstanding,,,transport
A-00051,W-0171,2026-04-04T07:10:00,79.37,3.37,outstanding,,,bill_due
A-00052,W-0186,2026-04-06T14:11:00,39.54,1.99,repaid,2026-04-17T14:11:00,next_advance,emergency
A-00053,W-0057,2026-06-23T10:20:00,54.22,2.3,repaid,2026-06-27T10:20:00,next_advance,shortfall
A-00054,W-0039,2026-06-11T14:38:00,39.68,0.0,repaid,2026-06-21T14:38:00,bank,shortfall
A-00055,W-0064,2026-05-08T20:53:00,29.54,1.99,repaid,2026-05-22T20:53:00,payroll,emergency
A-00056,W-0183,2026-05-16T16:28:00,53.09,2.26,repaid,2026-05-24T16:28:00,bank,groceries
A-00057,W-0037,2026-05-17T11:02:00,54.91,2.33,outstanding,,,bill_due
A-00058,W-0156,2026-06-09T13:20:00,59.72,2.54,repaid,2026-06-16T13:20:00,next_advance,other
A-00059,W-0157,2026-05-09T11:00:00,25.79,0.0,repaid,2026-05-21T11:00:00,bank,other
A-00060,W-0109,2026-04-20T17:30:00,52.52,0.0,repaid,2026-04-27T17:30:00,bank,other
A-00061,W-0207,2026-06-20T17:49:00,45.51,1.99,repaid,2026-07-01T17:49:00,payroll,other
A-00062,W-0168,2026-05-17T14:15:00,37.94,1.99,repaid,2026-05-24T14:15:00,next_advance,groceries
A-00063,W-0214,2026-04-19T19:25:00,70.48,3.0,repaid,2026-04-26T19:25:00,payroll,groceries
A-00064,W-0145,2026-05-31T14:40:00,78.82,3.35,repaid,2026-06-07T14:40:00,next_advance,transport
A-00065,W-0135,2026-06-09T16:54:00,20.78,1.99,repaid,2026-06-16T16:54:00,bank,transport
A-00066,W-0192,2026-05-21T11:07:00,64.17,2.73,repaid,2026-05-27T11:07:00,next_advance,emergency
A-00067,W-0220,2026-06-15T12:03:00,41.01,1.99,outstanding,,,shortfall
A-00068,W-0195,2026-04-24T19:26:00,67.48,2.87,repaid,2026-04-26T19:26:00,next_advance,emergency
A-00069,W-0174,2026-04-24T16:08:00,42.16,1.99,outstanding,,,shortfall
A-00070,W-0213,2026-04-29T12:07:00,170.51,7.25,repaid,2026-05-01T12:07:00,bank,groceries
A-00071,W-0198,2026-05-03T17:31:00,102.07,4.34,repaid,2026-05-14T17:31:00,bank,shortfall
A-00072,W-0018,2026-05-18T14:30:00,45.26,1.99,repaid,2026-05-30T14:30:00,next_advance,transport
A-00073,W-0157,2026-05-30T07:47:00,27.73,1.99,repaid,2026-06-06T07:47:00,payroll,shortfall
A-00074,W-0090,2026-07-05T11:17:00,39.75,1.99,repaid,2026-07-13T11:17:00,payroll,bill_due
A-00075,W-0012,2026-04-26T08:06:00,79.91,3.4,repaid,2026-05-01T08:06:00,bank,bill_due
A-00076,W-0183,2026-04-16T16:33:00,26.51,1.99,repaid,2026-04-22T16:33:00,bank,other
A-00077,W-0140,2026-04-01T22:16:00,32.93,1.99,repaid,2026-04-14T22:16:00,next_advance,other
A-00078,W-0210,2026-06-10T22:21:00,55.23,2.35,repaid,2026-06-19T22:21:00,payroll,bill_due
A-00079,W-0168,2026-05-11T22:38:00,117.11,4.98,repaid,2026-05-14T22:38:00,next_advance,bill_due
A-00080,W-0079,2026-04-05T12:57:00,69.15,2.94,repaid,2026-04-11T12:57:00,next_advance,transport
A-00081,W-0056,2026-06-06T22:30:00,46.89,0.0,outstanding,,,bill_due
A-00082,W-0203,2026-05-14T08:50:00,100.44,4.27,repaid,2026-05-16T08:50:00,bank,groceries
A-00083,W-0187,2026-06-01T20:46:00,58.05,2.47,repaid,2026-06-06T20:46:00,next_advance,emergency
A-00084,W-0176,2026-06-06T21:34:00,28.57,1.99,repaid,2026-06-13T21:34:00,payroll,emergency
A-00085,W-0009,2026-06-25T22:54:00,41.98,1.99,repaid,2026-07-02T22:54:00,next_advance,other
A-00086,W-0143,2026-07-01T11:53:00,31.2,1.99,repaid,2026-07-03T11:53:00,payroll,shortfall
A-00087,W-0138,2026-04-13T18:01:00,54.34,0.0,repaid,2026-04-17T18:01:00,payroll,transport
A-00088,W-0104,2026-06-17T07:31:00,49.75,2.11,repaid,2026-06-21T07:31:00,bank,other
A-00089,W-0018,2026-04-04T08:08:00,22.61,1.99,repaid,2026-04-17T08:08:00,bank,bill_due
A-00090,W-0091,2026-05-27T15:58:00,31.0,1.99,outstanding,,,other
A-00091,W-0136,2026-05-10T14:42:00,20.38,1.99,repaid,2026-05-16T14:42:00,payroll,groceries
A-00092,W-0098,2026-05-06T17:42:00,62.81,2.67,repaid,2026-05-17T17:42:00,next_advance,bill_due
A-00093,W-0072,2026-04-28T16:00:00,23.09,1.99,repaid,2026-05-02T16:00:00,payroll,emergency
A-00094,W-0130,2026-04-30T19:49:00,98.55,4.19,outstanding,,,other
A-00095,W-0084,2026-05-22T12:03:00,85.17,3.62,repaid,2026-06-05T12:03:00,payroll,emergency
A-00096,W-0193,2026-05-03T15:53:00,24.98,1.99,repaid,2026-05-17T15:53:00,next_advance,other
A-00097,W-0051,2026-05-24T08:10:00,47.8,2.03,repaid,2026-06-03T08:10:00,bank,emergency
A-00098,W-0129,2026-05-17T09:46:00,55.18,2.35,outstanding,,,shortfall
A-00099,W-0180,2026-05-06T16:15:00,58.55,2.49,repaid,2026-05-13T16:15:00,next_advance,transport
A-00100,W-0171,2026-06-18T11:14:00,69.11,2.94,repaid,2026-06-30T11:14:00,next_advance,shortfall
A-00101,W-0101,2026-05-15T16:40:00,53.44,2.27,repaid,2026-05-24T16:40:00,bank,groceries
A-00102,W-0133,2026-04-12T21:35:00,52.44,2.23,repaid,2026-04-19T21:35:00,next_advance,bill_due
A-00103,W-0008,2026-05-01T12:31:00,44.11,1.99,repaid,2026-05-05T12:31:00,next_advance,transport
A-00104,W-0033,2026-05-11T20:02:00,44.63,1.99,repaid,2026-05-18T20:02:00,bank,other
A-00105,W-0050,2026-04-09T19:02:00,82.14,3.49,repaid,2026-04-22T19:02:00,bank,shortfall
A-00106,W-0174,2026-05-29T18:54:00,52.49,2.23,repaid,2026-06-09T18:54:00,bank,emergency
A-00107,W-0198,2026-06-06T15:24:00,93.16,3.96,outstanding,,,shortfall
A-00108,W-0170,2026-05-17T13:53:00,64.61,0.0,repaid,2026-05-23T13:53:00,bank,other
A-00109,W-0184,2026-04-11T19:40:00,107.79,4.58,repaid,2026-04-22T19:40:00,payroll,emergency
A-00110,W-0128,2026-05-07T07:27:00,60.37,2.57,repaid,2026-05-09T07:27:00,next_advance,other
A-00111,W-0014,2026-05-02T09:32:00,62.89,2.67,repaid,2026-05-07T09:32:00,next_advance,emergency
A-00112,W-0093,2026-05-12T12:10:00,26.51,1.99,repaid,2026-05-21T12:10:00,payroll,shortfall
A-00113,W-0023,2026-06-28T09:08:00,70.86,3.01,repaid,2026-07-02T09:08:00,payroll,bill_due
A-00114,W-0046,2026-06-18T07:06:00,59.52,2.53,repaid,2026-06-21T07:06:00,payroll,bill_due
A-00115,W-0010,2026-05-17T17:57:00,101.9,4.33,repaid,2026-05-30T17:57:00,payroll,emergency
A-00116,W-0161,2026-06-02T17:18:00,44.54,1.99,repaid,2026-06-13T17:18:00,bank,bill_due
A-00117,W-0111,2026-05-14T13:35:00,29.11,1.99,repaid,2026-05-17T13:35:00,next_advance,bill_due
A-00118,W-0026,2026-05-27T09:09:00,51.59,2.19,repaid,2026-06-03T09:09:00,bank,shortfall
A-00119,W-0051,2026-06-17T13:27:00,83.2,3.54,repaid,2026-06-24T13:27:00,payroll,groceries
A-00120,W-0087,2026-07-01T16:33:00,35.21,1.99,repaid,2026-07-11T16:33:00,next_advance,shortfall
A-00121,W-0063,2026-06-30T20:42:00,69.77,2.97,repaid,2026-07-10T20:42:00,next_advance,shortfall
A-00122,W-0045,2026-04-26T21:23:00,39.67,1.99,repaid,2026-05-03T21:23:00,payroll,other
A-00123,W-0083,2026-04-26T08:04:00,34.43,1.99,repaid,2026-05-09T08:04:00,payroll,transport
A-00124,W-0019,2026-04-10T09:42:00,107.82,4.58,repaid,2026-04-20T09:42:00,bank,transport
A-00125,W-0208,2026-06-01T12:41:00,84.7,3.6,repaid,2026-06-10T12:41:00,next_advance,transport
A-00126,W-0144,2026-04-28T22:18:00,20.0,0.0,repaid,2026-05-10T22:18:00,next_advance,emergency
A-00127,W-0173,2026-06-14T22:53:00,26.98,1.99,repaid,2026-06-17T22:53:00,payroll,emergency
A-00128,W-0142,2026-06-02T08:58:00,38.47,1.99,repaid,2026-06-06T08:58:00,payroll,emergency
A-00129,W-0133,2026-04-29T22:28:00,40.59,1.99,repaid,2026-05-08T22:28:00,bank,transport
A-00130,W-0178,2026-04-21T18:19:00,23.86,1.99,repaid,2026-05-02T18:19:00,bank,shortfall
A-00131,W-0035,2026-06-11T21:15:00,75.15,3.19,outstanding,,,emergency
A-00132,W-0214,2026-05-23T10:19:00,65.92,2.8,outstanding,,,bill_due
A-00133,W-0154,2026-04-15T20:21:00,40.56,1.99,cancelled,,,other
A-00134,W-0006,2026-06-24T11:52:00,43.42,1.99,repaid,2026-06-29T11:52:00,next_advance,transport
A-00135,W-0026,2026-06-16T13:47:00,45.22,1.99,outstanding,,,other
A-00136,W-0198,2026-06-16T07:43:00,79.81,0.0,repaid,2026-06-26T07:43:00,next_advance,groceries
A-00137,W-0011,2026-05-02T15:24:00,47.13,2.0,repaid,2026-05-16T15:24:00,bank,groceries
A-00138,W-0196,2026-04-27T10:39:00,60.57,2.57,repaid,2026-05-07T10:39:00,bank,shortfall
A-00139,W-0152,2026-05-29T22:20:00,51.42,2.19,repaid,2026-06-07T22:20:00,bank,other
A-00140,W-0083,2026-04-14T13:48:00,109.57,0.0,repaid,2026-04-18T13:48:00,payroll,emergency
A-00141,W-0180,2026-06-27T08:42:00,37.19,1.99,repaid,2026-07-06T08:42:00,bank,groceries
A-00142,W-0149,2026-06-10T18:19:00,65.99,2.8,repaid,2026-06-14T18:19:00,payroll,bill_due
A-00143,W-0095,2026-06-10T08:34:00,80.64,3.43,repaid,2026-06-19T08:34:00,next_advance,transport
A-00144,W-0192,2026-05-06T14:37:00,56.05,2.38,repaid,2026-05-08T14:37:00,next_advance,groceries
A-00145,W-0219,2026-06-24T17:13:00,50.84,2.16,repaid,2026-07-08T17:13:00,bank,emergency
A-00146,W-0219,2026-06-12T07:30:00,22.13,1.99,outstanding,,,groceries
A-00147,W-0220,2026-05-02T10:27:00,58.13,2.47,repaid,2026-05-04T10:27:00,payroll,groceries
A-00148,W-0026,2026-07-01T18:37:00,32.59,1.99,repaid,2026-07-11T18:37:00,payroll,groceries
A-00149,W-0076,2026-05-26T11:27:00,32.19,1.99,repaid,2026-05-29T11:27:00,payroll,emergency
A-00150,W-0217,2026-05-08T08:58:00,38.6,1.99,repaid,2026-05-13T08:58:00,bank,transport
A-00151,W-0076,2026-05-27T09:35:00,57.89,2.46,repaid,2026-05-31T09:35:00,bank,groceries
A-00152,W-0021,2026-07-02T14:17:00,73.71,3.13,repaid,2026-07-04T14:17:00,payroll,groceries
A-00153,W-0031,2026-04-05T11:06:00,79.24,3.37,repaid,2026-04-17T11:06:00,next_advance,transport
A-00154,W-0149,2026-05-12T18:47:00,38.31,1.99,repaid,2026-05-18T18:47:00,payroll,groceries
A-00155,W-0207,2026-04-13T13:36:00,27.14,1.99,repaid,2026-04-20T13:36:00,payroll,groceries
A-00156,W-0215,2026-04-19T09:22:00,57.52,2.44,repaid,2026-04-26T09:22:00,payroll,emergency
A-00157,W-0203,2026-07-05T12:31:00,41.91,1.99,outstanding,,,transport
A-00158,W-0105,2026-06-09T20:08:00,30.04,1.99,repaid,2026-06-21T20:08:00,payroll,bill_due
A-00159,W-0028,2026-05-31T10:18:00,60.97,2.59,repaid,2026-06-07T10:18:00,payroll,bill_due
A-00160,W-0214,2026-06-07T16:01:00,34.97,1.99,repaid,2026-06-19T16:01:00,bank,transport
A-00161,W-0035,2026-06-12T12:25:00,39.45,1.99,repaid,2026-06-21T12:25:00,payroll,transport
A-00162,W-0022,2026-06-23T10:22:00,34.46,1.99,repaid,2026-07-07T10:22:00,next_advance,transport
A-00163,W-0174,2026-05-06T10:36:00,69.71,2.96,repaid,2026-05-13T10:36:00,bank,groceries
A-00164,W-0011,2026-04-19T21:34:00,48.88,0.0,repaid,2026-04-21T21:34:00,next_advance,groceries
A-00165,W-0100,2026-04-10T15:15:00,41.79,1.99,repaid,2026-04-21T15:15:00,payroll,bill_due
A-00166,W-0061,2026-05-23T16:13:00,28.26,0.0,repaid,2026-06-01T16:13:00,payroll,transport
A-00167,W-0156,2026-06-09T09:59:00,46.62,1.99,repaid,2026-06-23T09:59:00,payroll,shortfall
A-00168,W-0009,2026-04-28T11:21:00,76.98,3.27,outstanding,,,groceries
A-00169,W-0109,2026-06-02T08:04:00,86.76,0.0,outstanding,,,shortfall
A-00170,W-0219,2026-04-09T22:01:00,32.4,1.99,repaid,2026-04-11T22:01:00,bank,transport
A-00171,W-0106,2026-06-12T14:42:00,57.22,2.43,repaid,2026-06-18T14:42:00,payroll,shortfall
A-00172,W-0079,2026-05-28T13:55:00,78.97,0.0,repaid,2026-06-03T13:55:00,payroll,other
A-00173,W-0077,2026-04-16T21:48:00,30.79,1.99,repaid,2026-04-24T21:48:00,next_advance,shortfall
A-00174,W-0174,2026-04-30T13:44:00,45.45,0.0,repaid,2026-05-06T13:44:00,payroll,transport
A-00175,W-0202,2026-04-04T07:15:00,78.43,3.33,outstanding,,,shortfall
A-00176,W-0181,2026-05-07T19:44:00,64.27,2.73,outstanding,,,other
A-00177,W-0206,2026-06-20T07:01:00,29.62,1.99,repaid,2026-06-28T07:01:00,payroll,other
A-00178,W-0070,2026-06-11T19:53:00,72.04,3.06,outstanding,,,bill_due
A-00179,W-0046,2026-07-01T08:54:00,58.84,0.0,repaid,2026-07-09T08:54:00,payroll,groceries
A-00180,W-0047,2026-04-01T11:32:00,60.94,2.59,repaid,2026-04-05T11:32:00,bank,transport
A-00181,W-0095,2026-06-18T20:07:00,47.67,2.03,outstanding,,,transport
A-00182,W-0204,2026-05-01T12:39:00,55.35,0.0,cancelled,,,other
A-00183,W-0206,2026-04-22T07:17:00,26.83,1.99,repaid,2026-04-24T07:17:00,payroll,emergency
A-00184,W-0198,2026-04-09T12:51:00,34.48,1.99,repaid,2026-04-23T12:51:00,next_advance,groceries
A-00185,W-0018,2026-05-31T08:00:00,87.12,3.7,repaid,2026-06-07T08:00:00,next_advance,transport
A-00186,W-0037,2026-04-10T12:09:00,156.45,6.65,repaid,2026-04-18T12:09:00,payroll,groceries
A-00187,W-0085,2026-04-11T19:23:00,83.58,3.55,repaid,2026-04-17T19:23:00,bank,shortfall
A-00188,W-0025,2026-04-17T10:48:00,76.16,3.24,repaid,2026-04-22T10:48:00,next_advance,emergency
A-00189,W-0179,2026-05-28T09:52:00,24.38,1.99,repaid,2026-06-08T09:52:00,payroll,shortfall
A-00190,W-0098,2026-06-07T21:22:00,107.09,4.55,repaid,2026-06-16T21:22:00,payroll,groceries
A-00191,W-0203,2026-05-23T09:13:00,35.92,1.99,repaid,2026-06-01T09:13:00,bank,transport
A-00192,W-0037,2026-06-01T21:55:00,51.39,2.18,repaid,2026-06-08T21:55:00,payroll,emergency
A-00193,W-0208,2026-05-22T11:30:00,50.14,0.0,repaid,2026-05-29T11:30:00,next_advance,transport
A-00194,W-0213,2026-06-27T19:31:00,86.1,0.0,repaid,2026-07-05T19:31:00,bank,bill_due
A-00195,W-0210,2026-06-13T12:31:00,86.85,3.69,repaid,2026-06-15T12:31:00,bank,bill_due
A-00196,W-0162,2026-07-05T20:29:00,88.83,3.78,repaid,2026-07-14T20:29:00,bank,groceries
A-00197,W-0044,2026-05-27T08:11:00,84.27,3.58,repaid,2026-06-01T08:11:00,bank,other
A-00198,W-0040,2026-04-26T20:36:00,39.97,1.99,repaid,2026-05-04T20:36:00,next_advance,emergency
A-00199,W-0105,2026-05-23T12:00:00,43.52,1.99,repaid,2026-06-04T12:00:00,bank,groceries
A-00200,W-0103,2026-05-25T20:12:00,33.93,1.99,repaid,2026-06-02T20:12:00,next_advance,shortfall
A-00201,W-0125,2026-05-24T16:14:00,58.35,2.48,repaid,2026-06-07T16:14:00,payroll,groceries
A-00202,W-0103,2026-04-27T15:41:00,57.61,0.0,repaid,2026-04-30T15:41:00,bank,groceries
A-00203,W-0101,2026-06-26T17:50:00,50.82,2.16,repaid,2026-06-29T17:50:00,bank,emergency
A-00204,W-0149,2026-06-13T15:07:00,40.68,1.99,repaid,2026-06-27T15:07:00,bank,other
A-00205,W-0077,2026-04-03T18:20:00,90.08,3.83,repaid,2026-04-14T18:20:00,next_advance,other
A-00206,W-0199,2026-06-04T14:13:00,29.04,1.99,repaid,2026-06-17T14:13:00,payroll,other
A-00207,W-0171,2026-06-28T21:07:00,29.25,1.99,repaid,2026-07-01T21:07:00,next_advance,transport
A-00208,W-0175,2026-04-08T21:18:00,84.77,3.6,repaid,2026-04-10T21:18:00,next_advance,emergency
A-00209,W-0030,2026-05-25T16:41:00,81.48,3.46,repaid,2026-06-01T16:41:00,payroll,groceries
A-00210,W-0098,2026-04-23T17:04:00,54.28,2.31,repaid,2026-04-26T17:04:00,bank,other
A-00211,W-0217,2026-04-30T13:14:00,39.17,1.99,repaid,2026-05-12T13:14:00,next_advance,shortfall
A-00212,W-0211,2026-05-17T11:24:00,67.92,2.89,repaid,2026-05-25T11:24:00,bank,shortfall
A-00213,W-0008,2026-06-29T19:42:00,120.2,0.0,repaid,2026-07-13T19:42:00,payroll,shortfall
A-00214,W-0204,2026-05-11T20:38:00,47.13,2.0,repaid,2026-05-22T20:38:00,next_advance,other
A-00215,W-0128,2026-04-10T16:07:00,69.37,2.95,repaid,2026-04-13T16:07:00,next_advance,emergency
A-00216,W-0088,2026-06-15T16:52:00,102.49,4.36,repaid,2026-06-27T16:52:00,payroll,emergency
A-00217,W-0056,2026-04-30T20:52:00,45.51,0.0,repaid,2026-05-03T20:52:00,next_advance,groceries
A-00218,W-0023,2026-04-09T16:51:00,37.5,1.99,repaid,2026-04-13T16:51:00,payroll,bill_due
A-00219,W-0115,2026-05-19T14:15:00,26.93,1.99,repaid,2026-05-29T14:15:00,bank,emergency
A-00220,W-0153,2026-05-15T08:39:00,69.77,2.97,repaid,2026-05-26T08:39:00,payroll,emergency
A-00221,W-0093,2026-06-23T22:05:00,62.92,2.67,repaid,2026-06-30T22:05:00,next_advance,groceries
A-00222,W-0161,2026-05-18T17:34:00,35.12,1.99,repaid,2026-05-21T17:34:00,bank,emergency
A-00223,W-0022,2026-05-14T09:53:00,90.72,3.86,repaid,2026-05-26T09:53:00,next_advance,other
A-00224,W-0033,2026-07-03T21:02:00,49.19,0.0,repaid,2026-07-06T21:02:00,next_advance,shortfall
A-00225,W-0060,2026-06-25T22:18:00,23.83,1.99,repaid,2026-07-02T22:18:00,bank,bill_due
A-00226,W-0071,2026-05-11T15:05:00,54.92,2.33,repaid,2026-05-19T15:05:00,next_advance,groceries
A-00227,W-0131,2026-07-05T20:52:00,95.34,4.05,repaid,2026-07-17T20:52:00,bank,other
A-00228,W-0048,2026-05-06T07:43:00,22.11,1.99,repaid,2026-05-14T07:43:00,bank,other
A-00229,W-0138,2026-06-28T16:39:00,91.64,3.89,repaid,2026-07-06T16:39:00,payroll,shortfall
A-00230,W-0018,2026-06-24T17:30:00,46.25,1.99,repaid,2026-06-30T17:30:00,bank,emergency
A-00231,W-0197,2026-06-28T10:53:00,104.92,0.0,repaid,2026-07-05T10:53:00,payroll,emergency
A-00232,W-0066,2026-05-04T07:24:00,51.55,2.19,repaid,2026-05-06T07:24:00,bank,groceries
A-00233,W-0037,2026-04-22T22:09:00,62.31,2.65,repaid,2026-04-24T22:09:00,bank,shortfall
A-00234,W-0217,2026-06-16T21:44:00,61.06,0.0,cancelled,,,emergency
A-00235,W-0170,2026-06-08T22:36:00,76.94,3.27,repaid,2026-06-18T22:36:00,next_advance,other
A-00236,W-0076,2026-06-24T07:27:00,50.29,0.0,repaid,2026-07-04T07:27:00,bank,bill_due
A-00237,W-0168,2026-04-18T19:30:00,26.91,1.99,outstanding,,,transport
A-00238,W-0136,2026-06-27T08:09:00,37.03,1.99,repaid,2026-07-09T08:09:00,bank,emergency
A-00239,W-0174,2026-04-11T10:31:00,56.24,0.0,cancelled,,,emergency
A-00240,W-0154,2026-05-23T07:22:00,89.09,3.79,outstanding,,,other
A-00241,W-0220,2026-06-28T13:43:00,20.0,1.99,repaid,2026-07-02T13:43:00,next_advance,shortfall
A-00242,W-0050,2026-06-21T08:11:00,44.41,1.99,cancelled,,,emergency
A-00243,W-0079,2026-04-24T21:45:00,83.69,3.56,repaid,2026-05-04T21:45:00,next_advance,groceries
A-00244,W-0183,2026-06-28T17:11:00,61.4,2.61,repaid,2026-07-07T17:11:00,next_advance,bill_due
A-00245,W-0016,2026-05-05T19:39:00,67.28,2.86,repaid,2026-05-19T19:39:00,payroll,shortfall
A-00246,W-0025,2026-05-07T10:31:00,72.92,3.1,repaid,2026-05-13T10:31:00,bank,groceries
A-00247,W-0133,2026-06-14T08:39:00,46.96,2.0,repaid,2026-06-28T08:39:00,bank,other
A-00248,W-0084,2026-07-03T22:06:00,109.11,4.64,repaid,2026-07-16T22:06:00,bank,shortfall
A-00249,W-0031,2026-05-04T09:31:00,62.8,2.67,repaid,2026-05-09T09:31:00,next_advance,bill_due
A-00250,W-0005,2026-04-17T10:52:00,69.11,2.94,outstanding,,,groceries
A-00251,W-0003,2026-07-03T19:53:00,59.71,0.0,repaid,2026-07-09T19:53:00,bank,bill_due
A-00252,W-0183,2026-06-13T15:20:00,59.05,2.51,repaid,2026-06-24T15:20:00,next_advance,emergency
A-00253,W-0014,2026-06-13T12:11:00,82.06,3.49,repaid,2026-06-26T12:11:00,next_advance,bill_due
A-00254,W-0111,2026-06-14T21:21:00,50.21,2.13,cancelled,,,emergency
A-00255,W-0101,2026-04-25T22:50:00,35.45,1.99,repaid,2026-05-09T22:50:00,payroll,groceries
A-00256,W-0106,2026-06-18T17:46:00,82.25,3.5,repaid,2026-06-20T17:46:00,payroll,emergency
A-00257,W-0203,2026-05-21T11:19:00,64.56,2.74,repaid,2026-05-29T11:19:00,bank,bill_due
A-00258,W-0068,2026-06-13T18:33:00,43.37,1.99,repaid,2026-06-16T18:33:00,payroll,bill_due
A-00259,W-0210,2026-06-13T07:05:00,28.91,1.99,repaid,2026-06-25T07:05:00,bank,emergency
