worker_id,week_start,income_cad,expense_cad,essential_expense_cad,net_cashflow_cad,advances_count,advances_amount_cad,advance_fees_cad,ending_balance_cad,buffer_days_estimate,negative_balance_flag
W-0004,2026-06-15,658.65,416.03,188.9,242.62,0,0,0,9192.53,91.28,0
W-0004,2026-06-22,914.24,103.15,24.68,811.09,0,0,0,9998.73,,0
W-0004,2026-06-29,315.63,207.46,149.56,108.17,0,0,0,10443.27,435.42,0
W-0005,2026-03-30,193.98,2201.46,2201.46,-2007.48,0,0,0,4488.33,-21.09,0
W-0005,2026-04-06,494.02,196.72,117.26,297.3,0,0,0,4594.15,656.07,0
W-0005,2026-04-13,442.89,581.1,488.41,-138.21,1,69.11,2.94,4716.53,47.92,0
W-0005,2026-04-20,180.83,159.22,109.33,21.61,0,0,0,4738.14,-25.89,0
W-0005,2026-04-27,445.1,2022.97,1974.73,-1577.87,0,0,0,2983.64,469.23,0
W-0005,2026-05-04,193.25,594.68,515.81,-401.43,0,0,0,2758.84,110.46,0
W-0005,2026-05-11,490.26,603.5,541.1,-113.24,0,0,0,2454.34,110.58,0
W-0005,2026-05-18,435.64,343.16,177.79,92.48,0,0,0,2637.23,612.32,0
W-0005,2026-05-25,423.29,280.66,101.55,142.63,0,0,0,2678.7,13.45,0
W-0005,2026-06-01,600.41,2202.02,2078.7,-1601.61,1,74.76,3.18,1269.92,515.66,0
W-0005,2026-06-08,389.72,86.16,35.65,303.56,0,0,0,1579.87,-47.39,0
W-0005,2026-06-15,447.63,458.53,399.57,-10.9,0,0,0,1557.66,327.08,0
W-0005,2026-06-22,379.63,136.51,56.01,243.12,0,0,0,1889.64,392.5,0
W-0005,2026-06-29,202.3,2432.91,2323.06,-2230.61,0,0,0,-340.97,,1
W-0006,2026-03-30,654.94,1447.46,1230.31,-792.52,0,0,0,85.26,,0
W-0006,2026-04-06,919.11,133.67,0.0,785.44,0,0,0,626.23,17.6,0
W-0006,2026-04-13,686.56,631.81,616.49,54.75,0,0,0,925.45,75.18,0
W-0006,2026-04-20,894.19,152.41,92.29,741.78,0,0,0,1450.89,649.23,0
W-0006,2026-04-27,1108.43,1299.3,1271.15,-190.87,0,0,0,1267.08,51.69,0
W-0006,2026-05-04,891.01,262.48,136.84,628.53,0,0,0,1882.09,644.28,0
W-0006,2026-05-11,921.32,626.3,474.07,295.02,0,0,0,2183.32,373.19,0
W-0006,2026-05-18,937.18,161.55,124.27,775.63,0,0,0,2925.66,599.51,0
W-0006,2026-05-25,920.04,211.82,146.68,708.22,0,0,0,3883.76,692.7,0
W-0006,2026-06-01,1089.46,1372.77,1276.73,-283.31,0,0,0,3404.37,59.87,0
W-0006,2026-06-08,1299.34,91.34,35.79,1208.0,1,33.77,1.99,4646.39,78.57,0
W-0006,2026-06-15,675.27,593.97,562.21,81.3,0,0,0,4923.52,80.73,0
W-0006,2026-06-22,1109.99,286.5,53.08,823.49,1,43.42,1.99,5564.91,425.17,0
W-0006,2026-06-29,473.38,1271.54,1224.4,-798.16,0,0,0,4992.27,5.63,0
W-0007,2026-03-30,578.68,272.95,181.97,305.73,0,0,0,5841.72,,0
W-0007,2026-04-06,762.02,431.56,178.54,330.46,0,0,0,6581.45,106.0,0
W-0007,2026-04-13,647.62,660.32,508.55,-12.7,0,0,0,6393.37,99.71,0
W-0007,2026-04-20,755.87,347.18,286.27,408.69,0,0,0,6977.44,-24.91,0
W-0007,2026-04-27,601.86,381.28,325.75,220.58,0,0,0,7198.02,369.3,0
W-0007,2026-05-04,570.14,507.7,391.33,62.44,0,0,0,7067.96,642.28,0
W-0007,2026-05-11,923.57,645.86,535.06,277.71,0,0,0,7538.17,643.68,0
W-0007,2026-05-18,1272.56,601.65,349.92,670.91,0,0,0,8018.4,250.43,0
W-0007,2026-05-25,1104.03,457.74,380.51,646.29,0,0,0,8855.37,82.05,0
W-0007,2026-06-01,1175.9,389.91,283.09,785.99,0,0,0,9439.03,176.77,0
W-0007,2026-06-08,953.66,431.78,290.08,521.88,0,0,0,9960.6,15.78,0
W-0007,2026-06-15,723.31,521.1,487.87,202.21,0,0,0,9983.75,-3.0,0
W-0007,2026-06-22,590.7,268.11,228.89,322.59,0,0,0,10688.04,,0
W-0007,2026-06-29,0,390.77,278.03,-390.77,0,0,0,10297.27,106.86,0
W-0008,2026-03-30,587.82,75.32,0.0,512.5,0,0,0,3504.06,553.65,0
W-0008,2026-04-06,844.81,364.08,172.98,480.73,0,0,0,4157.43,12816.17,0
W-0008,2026-04-13,775.05,253.89,111.0,521.16,0,0,0,4678.59,310.56,0
W-0008,2026-04-20,1000.36,182.42,102.44,817.94,0,0,0,5269.15,119.38,0
W-0008,2026-04-27,1001.24,122.31,120.32,878.93,1,44.11,1.99,6419.57,,0
W-0008,2026-05-04,1347.77,401.28,138.8,946.49,0,0,0,6937.97,83.98,0
W-0008,2026-05-11,824.12,111.72,64.09,712.4,0,0,0,8078.46,10.49,0
W-0008,2026-05-18,830.61,187.29,80.02,643.32,0,0,0,8509.43,30.81,0
W-0008,2026-05-25,660.41,103.15,0.0,557.26,0,0,0,9279.04,,0
W-0008,2026-06-01,791.5,121.45,68.02,670.05,0,0,0,9732.31,771.03,0
W-0008,2026-06-08,796.77,267.98,221.15,528.79,0,0,0,10477.88,438.55,0
W-0008,2026-06-15,943.17,229.67,64.09,713.5,0,0,0,10917.25,-36.44,0
W-0008,2026-06-22,718.54,382.24,326.78,336.3,0,0,0,11325.18,7.79,0
W-0008,2026-06-29,404.53,204.84,155.44,199.69,1,120.2,0.0,11847.57,-40.37,0
W-0009,2026-03-30,1109.97,2013.57,1953.09,-903.6,1,61.39,2.61,2677.65,56.63,0
W-0009,2026-04-06,759.72,236.74,80.72,522.98,0,0,0,3410.43,694.55,0
W-0009,2026-04-13,696.35,398.57,72.44,297.78,0,0,0,3458.02,602.31,0
W-0009,2026-04-20,685.23,197.63,96.89,487.6,0,0,0,3832.05,-8.0,0
W-0009,2026-04-27,1096.65,2296.81,2040.04,-1200.16,1,76.98,3.27,3072.63,274.76,0
W-0009,2026-05-04,773.56,270.19,43.9,503.37,0,0,0,3439.45,140.65,0
W-0009,2026-05-11,1347.06,274.8,29.28,1072.26,0,0,0,4194.76,222.18,0
W-0009,2026-05-18,1144.96,165.3,31.39,979.66,0,0,0,5309.95,6.41,0
W-0009,2026-05-25,762.82,631.73,247.76,131.09,0,0,0,5759.01,13230.16,0
W-0009,2026-06-01,629.14,2199.01,2109.88,-1569.87,0,0,0,4189.14,-26.42,0
W-0009,2026-06-08,1066.99,405.77,41.16,661.22,0,0,0,4669.71,75.59,0
W-0009,2026-06-15,474.03,215.56,118.81,258.47,0,0,0,5108.83,-42.11,0
W-0009,2026-06-22,647.12,641.75,175.33,5.37,1,41.98,1.99,4947.88,26.97,0
W-0009,2026-06-29,460.48,2019.07,1953.09,-1558.59,0,0,0,3597.59,75.4,0
W-0010,2026-03-30,565.68,1853.09,1800.76,-1287.41,0,0,0,-449.12,196.12,1
W-0010,2026-04-06,568.8,244.31,126.63,324.49,0,0,0,11.41,,0
W-0010,2026-04-13,500.44,799.71,590.06,-299.27,0,0,0,-287.86,,1
W-0010,2026-04-20,667.9,186.43,104.76,481.47,0,0,0,-69.48,,1
W-0010,2026-04-27,490.89,1906.38,1822.54,-1415.49,0,0,0,-1318.39,,1
W-0010,2026-05-04,138.14,662.87,300.12,-524.73,0,0,0,-1746.61,,1
W-0010,2026-05-11,745.6,658.82,558.72,86.78,1,101.9,4.33,-1680.68,51.27,1
W-0010,2026-05-18,577.95,568.08,220.68,9.87,0,0,0,-1780.39,,1
W-0010,2026-05-25,593.55,184.2,131.57,409.35,0,0,0,-1138.71,68.42,1
W-0010,2026-06-01,264.66,1961.66,1847.67,-1697.0,0,0,0,-2835.71,211.01,1
W-0010,2026-06-08,479.5,346.47,256.08,133.03,0,0,0,-2702.68,,1
W-0010,2026-06-15,829.72,802.92,659.19,26.8,0,0,0,-2993.95,297.83,1
W-0010,2026-06-22,349.83,343.33,233.17,6.5,1,83.11,3.53,-2586.27,48.12,1
W-0010,2026-06-29,173.75,2106.09,2023.59,-1932.34,0,0,0,-4518.61,418.97,1
W-0011,2026-03-30,875.0,1894.76,1766.56,-1019.76,0,0,0,2269.91,,0
W-0011,2026-04-06,432.77,148.81,73.2,283.96,0,0,0,2591.0,,0
W-0011,2026-04-13,716.34,277.16,80.3,439.18,1,48.88,0.0,3285.15,152.05,0
W-0011,2026-04-20,1168.63,233.17,0.0,935.46,0,0,0,4220.61,,0
W-0011,2026-04-27,1408.88,1686.57,1640.61,-277.69,1,47.13,2.0,3485.43,82.5,0
W-0011,2026-05-04,918.62,375.54,290.17,543.08,0,0,0,4533.13,174.21,0
W-0011,2026-05-11,1558.69,215.41,110.53,1343.28,1,64.0,2.72,5743.42,28.58,0
W-0011,2026-05-18,858.31,145.66,52.87,712.65,1,35.52,1.99,6688.58,3094.39,0
W-0011,2026-05-25,721.07,294.31,35.72,426.76,0,0,0,6859.96,38.93,0
W-0011,2026-06-01,1142.87,1729.13,1711.38,-586.26,0,0,0,6293.99,77.68,0
W-0011,2026-06-08,904.31,175.05,73.2,729.26,0,0,0,7035.68,64.71,0
W-0011,2026-06-15,1081.82,228.38,154.73,853.44,0,0,0,8111.78,489.14,0
W-0011,2026-06-22,455.18,156.98,129.32,298.2,0,0,0,8196.31,92.5,0
W-0011,2026-06-29,439.53,1739.14,1711.38,-1299.61,0,0,0,7110.37,104.31,0
W-0012,2026-03-30,686.37,965.23,827.05,-278.86,0,0,0,5482.79,726.46,0
W-0012,2026-04-06,907.03,118.24,34.37,788.79,1,30.74,1.99,6276.72,-6.75,0
W-0012,2026-04-13,729.14,349.84,262.49,379.3,0,0,0,7024.36,65.84,0
W-0012,2026-04-20,754.96,408.83,311.54,346.13,2,111.62,5.39,7107.99,-20.63,0
W-0012,2026-04-27,779.15,787.27,767.83,-8.12,0,0,0,7306.86,106.62,0
W-0012,2026-05-04,956.98,352.17,245.62,604.81,0,0,0,7911.63,115.71,0
W-0012,2026-05-11,714.49,306.96,161.69,407.53,1,54.68,2.32,8541.01,,0
W-0012,2026-05-18,360.92,292.73,292.73,68.19,0,0,0,8609.2,734.84,0
W-0012,2026-05-25,833.11,163.5,8.75,669.61,0,0,0,9139.27,266.31,0
W-0012,2026-06-01,577.2,1055.16,1034.6,-477.96,1,28.55,1.99,8658.36,88.46,0
W-0012,2026-06-08,708.49,141.8,115.75,566.69,0,0,0,9198.86,37.1,0
W-0012,2026-06-15,928.3,363.26,258.51,565.04,0,0,0,9584.73,620.81,0
W-0012,2026-06-22,746.84,165.6,45.93,581.24,0,0,0,10542.37,47.22,0
W-0012,2026-06-29,425.0,1053.73,1000.24,-628.73,0,0,0,9913.64,423.24,0
W-0013,2026-03-30,390.29,732.78,648.24,-342.49,0,0,0,4692.95,27.57,0
W-0013,2026-04-06,965.18,157.92,0.0,807.26,0,0,0,5540.5,740.45,0
W-0013,2026-04-13,1026.58,460.17,390.4,566.41,0,0,0,6052.61,790.54,0
W-0013,2026-04-20,602.37,236.61,124.25,365.76,1,79.61,0.0,6520.0,-19.8,0
W-0013,2026-04-27,776.94,929.11,719.76,-152.17,0,0,0,6559.4,,0
W-0013,2026-05-04,1022.93,129.01,30.16,893.92,0,0,0,7064.95,14.33,0
W-0013,2026-05-11,832.85,403.82,289.43,429.03,0,0,0,7667.03,-49.63,0
W-0013,2026-05-18,1223.89,269.76,126.33,954.13,0,0,0,8232.22,-47.25,0
W-0013,2026-05-25,780.77,250.84,64.49,529.93,0,0,0,8933.31,2.63,0
W-0013,2026-06-01,832.25,834.62,749.13,-2.37,0,0,0,9364.04,569.53,0
W-0013,2026-06-08,572.6,130.18,0.0,442.42,0,0,0,9806.46,464.05,0
W-0013,2026-06-15,1206.72,592.15,475.31,614.57,0,0,0,10421.03,56.85,0
W-0013,2026-06-22,592.98,76.38,0.0,516.6,0,0,0,10937.63,136.29,0
W-0013,2026-06-29,423.8,988.08,873.39,-564.28,0,0,0,10373.35,1170.76,0
W-0014,2026-03-30,0,1590.02,1590.02,-1590.02,0,0,0,4470.41,145.85,0
W-0014,2026-04-06,795.33,124.3,83.06,671.03,0,0,0,5141.44,83.8,0
W-0014,2026-04-13,822.95,138.17,112.86,684.78,0,0,0,5646.28,-11.0,0
W-0014,2026-04-20,1075.88,58.72,10.27,1017.16,0,0,0,6605.13,35.96,0
W-0014,2026-04-27,611.09,1841.89,1725.85,-1230.8,1,62.89,2.67,5439.73,86.74,0
W-0014,2026-05-04,1136.72,208.97,78.41,927.75,0,0,0,6412.61,49.7,0
W-0014,2026-05-11,1116.08,131.69,69.44,984.39,0,0,0,6928.71,-39.12,0
W-0014,2026-05-18,1485.14,116.37,23.96,1368.77,1,77.96,3.31,8595.31,106.73,0
W-0014,2026-05-25,835.69,104.57,0.0,731.12,0,0,0,9543.35,,0
W-0014,2026-06-01,853.55,1759.85,1574.18,-906.3,0,0,0,8634.22,607.82,0
W-0014,2026-06-08,1074.89,174.25,133.53,900.64,1,82.06,3.49,9429.78,-32.67,0
W-0014,2026-06-15,1070.18,225.21,47.82,844.97,0,0,0,10482.77,33.36,0
W-0014,2026-06-22,777.97,24.18,0.0,753.79,0,0,0,11256.5,79.48,0
W-0014,2026-06-29,190.86,1813.43,1694.88,-1622.57,0,0,0,9818.05,75.42,0
W-0015,2026-03-30,630.05,303.95,242.33,326.1,0,0,0,2514.91,4.62,0
W-0015,2026-04-06,492.68,67.0,0.0,425.68,1,29.85,1.99,2832.6,84.82,0
W-0015,2026-04-13,1133.85,436.26,307.39,697.59,0,0,0,3668.03,511.22,0
W-0015,2026-04-20,963.65,527.55,187.82,436.1,0,0,0,3491.04,64.71,0
W-0015,2026-04-27,1149.82,195.81,144.76,954.01,0,0,0,4595.58,62.28,0
W-0015,2026-05-04,622.94,467.06,341.87,155.88,0,0,0,5214.02,,0
W-0015,2026-05-11,964.46,340.99,82.91,623.47,1,66.55,0.0,5904.04,309.85,0
W-0015,2026-05-18,1084.53,308.35,207.95,776.18,0,0,0,6378.97,46.23,0
W-0015,2026-05-25,945.58,19.06,19.06,926.52,0,0,0,7130.34,,0
W-0015,2026-06-01,767.1,409.07,191.9,358.03,0,0,0,7760.58,112.89,0
W-0015,2026-06-08,1106.87,184.54,106.26,922.33,0,0,0,8663.38,608.73,0
W-0015,2026-06-15,368.15,354.41,217.95,13.74,1,79.63,0.0,8792.78,-1.72,0
W-0015,2026-06-22,886.58,118.9,0.0,767.68,0,0,0,9532.24,-17.1,0
W-0015,2026-06-29,295.82,546.42,370.8,-250.6,0,0,0,9497.55,538.98,0
W-0016,2026-03-30,680.73,1343.18,1205.95,-662.45,0,0,0,4430.28,704.56,0
W-0016,2026-04-06,1261.26,363.99,114.48,897.27,1,37.83,1.99,5843.43,472.25,0
W-0016,2026-04-13,746.52,595.95,530.06,150.57,0,0,0,5994.0,,0
W-0016,2026-04-20,1016.91,175.61,37.32,841.3,0,0,0,6419.57,-38.73,0
W-0016,2026-04-27,450.94,1259.06,1086.9,-808.12,1,51.69,2.2,5844.07,233.27,0
W-0016,2026-05-04,598.83,518.03,350.81,80.8,2,108.11,4.85,6112.56,609.0,0
W-0016,2026-05-11,800.39,674.43,569.28,125.96,1,55.54,2.36,6449.28,748.67,0
W-0016,2026-05-18,1240.0,393.64,23.05,846.36,0,0,0,7142.17,-12.73,0
W-0016,2026-05-25,650.97,285.13,267.94,365.84,0,0,0,7661.48,185.32,0
W-0016,2026-06-01,800.92,1289.74,1234.78,-488.82,0,0,0,6936.01,28.77,0
W-0016,2026-06-08,881.6,350.25,213.12,531.35,0,0,0,7495.74,-797.66,0
W-0016,2026-06-15,880.29,598.08,530.06,282.21,0,0,0,7815.07,346.79,0
W-0016,2026-06-22,1350.74,110.2,0.0,1240.54,0,0,0,8981.62,53.51,0
W-0016,2026-06-29,363.06,1343.9,1223.43,-980.84,0,0,0,8245.92,665.97,0
W-0017,2026-03-30,393.92,1791.15,1750.98,-1397.23,0,0,0,3780.78,-14.44,0
W-0017,2026-04-06,736.85,186.69,137.88,550.16,0,0,0,4329.72,160.09,0
W-0017,2026-04-13,412.22,542.35,344.26,-130.13,1,95.22,4.05,4494.71,-1242.43,0
W-0017,2026-04-20,670.04,309.18,231.59,360.86,0,0,0,4664.87,-8.58,0
W-0017,2026-04-27,690.44,1886.05,1765.94,-1195.61,0,0,0,3467.94,732.28,0
W-0017,2026-05-04,781.44,270.47,145.73,510.97,0,0,0,3868.46,647.65,0
W-0017,2026-05-11,921.29,385.1,385.1,536.19,0,0,0,4394.36,78.18,0
W-0017,2026-05-18,509.6,363.39,229.96,146.21,0,0,0,4674.0,-42.83,0
W-0017,2026-05-25,933.19,267.26,106.53,665.93,0,0,0,5399.0,-32.01,0
W-0017,2026-06-01,604.88,1932.93,1882.52,-1328.05,0,0,0,4032.54,574.62,0
W-0017,2026-06-08,804.23,162.45,0.0,641.78,0,0,0,4562.74,,0
W-0017,2026-06-15,736.07,836.87,601.81,-100.8,0,0,0,4421.34,,0
W-0017,2026-06-22,663.09,155.25,105.94,507.84,0,0,0,5055.93,-30.67,0
W-0017,2026-06-29,332.03,1834.1,1834.1,-1502.07,0,0,0,3737.96,13304.55,0
W-0018,2026-03-30,234.4,1233.0,1178.27,-998.6,1,22.61,1.99,393.11,,0
W-0018,2026-04-06,406.87,179.36,37.1,227.51,0,0,0,457.19,5067.67,0
W-0018,2026-04-13,672.78,718.14,579.59,-45.36,0,0,0,685.8,11.08,0
W-0018,2026-04-20,581.82,289.15,24.95,292.67,0,0,0,836.35,-40.8,0
W-0018,2026-04-27,693.25,940.78,940.78,-247.53,0,0,0,623.83,,0
W-0018,2026-05-04,481.26,351.2,250.49,130.06,0,0,0,750.2,471.39,0
W-0018,2026-05-11,452.8,546.84,492.47,-94.04,0,0,0,548.8,555.28,0
W-0018,2026-05-18,480.37,185.39,74.08,294.98,1,45.26,1.99,971.35,-4.51,0
W-0018,2026-05-25,475.33,94.74,49.44,380.59,1,87.12,3.7,1574.91,-29.79,0
W-0018,2026-06-01,453.01,1152.28,1055.82,-699.27,0,0,0,647.29,561.11,0
W-0018,2026-06-08,347.02,230.7,53.37,116.32,0,0,0,991.96,229.45,0
W-0018,2026-06-15,603.89,952.42,624.27,-348.53,0,0,0,521.29,-48.62,0
W-0018,2026-06-22,526.28,161.52,0.0,364.76,1,46.25,1.99,803.79,9.8,0
W-0018,2026-06-29,216.97,1165.62,1165.62,-948.65,0,0,0,105.79,584.98,0
W-0019,2026-03-30,571.61,2021.06,2021.06,-1449.45,0,0,0,-105.75,77.58,1
W-0019,2026-04-06,1136.41,214.56,0.0,921.85,1,107.82,4.58,828.84,243.36,0
W-0019,2026-04-13,876.69,124.99,28.89,751.7,0,0,0,1463.82,333.44,0
W-0019,2026-04-20,612.28,84.45,0.0,527.83,0,0,0,2381.63,4129.46,0
W-0019,2026-04-27,690.19,1884.02,1878.69,-1193.83,0,0,0,1187.8,1731.26,0
W-0019,2026-05-04,795.55,268.26,185.25,527.29,0,0,0,1715.09,60.64,0
W-0019,2026-05-11,620.81,380.85,210.91,239.96,0,0,0,1754.63,233.92,0
W-0019,2026-05-18,1080.86,137.63,125.23,943.23,0,0,0,2746.98,-28.95,0
W-0019,2026-05-25,781.52,28.66,12.24,752.86,1,71.43,3.04,3722.57,2.61,0
W-0019,2026-06-01,983.01,2015.14,1983.79,-1032.13,0,0,0,2346.64,,0
W-0019,2026-06-08,899.72,285.22,112.02,614.5,0,0,0,3051.22,,0
W-0019,2026-06-15,858.36,323.63,117.76,534.73,0,0,0,3839.67,335.62,0
W-0019,2026-06-22,789.77,293.71,115.83,496.06,0,0,0,4335.73,17424.02,0
W-0019,2026-06-29,396.51,1932.0,1818.35,-1535.49,0,0,0,2800.24,-20.43,0
W-0020,2026-03-30,370.86,1333.82,1275.37,-962.96,0,0,0,2014.71,1.63,0
W-0020,2026-04-06,820.47,72.22,27.59,748.25,0,0,0,2948.65,794.46,0
W-0020,2026-04-13,673.82,255.18,119.01,418.64,0,0,0,3058.35,112.86,0
W-0020,2026-04-20,766.57,413.61,184.78,352.96,0,0,0,3720.25,,0
W-0020,2026-04-27,452.69,1271.28,1136.67,-818.59,0,0,0,2759.36,260.29,0
W-0020,2026-05-04,638.01,255.55,125.63,382.46,0,0,0,2948.39,383.68,0
W-0020,2026-05-11,643.66,142.24,69.9,501.42,0,0,0,3785.54,-17.47,0
W-0020,2026-05-18,730.54,357.34,145.46,373.2,0,0,0,4158.74,76.82,0
W-0020,2026-05-25,834.54,231.04,169.68,603.5,0,0,0,4762.24,-53.67,0
W-0020,2026-06-01,913.76,1377.52,1298.77,-463.76,0,0,0,4298.48,-15.83,0
W-0020,2026-06-08,575.0,153.94,15.74,421.06,1,90.81,3.86,4810.35,136.87,0
W-0020,2026-06-15,884.53,375.49,318.34,509.04,0,0,0,5319.39,-29.12,0
W-0020,2026-06-22,653.07,230.08,156.21,422.99,0,0,0,5742.38,4.22,0
W-0020,2026-06-29,162.87,1438.4,1328.69,-1275.53,0,0,0,4466.85,-48.09,0
W-0021,2026-03-30,107.3,87.21,87.21,20.09,0,0,0,3228.3,65.4,0
W-0021,2026-04-06,549.37,150.23,25.31,399.14,2,91.97,4.31,3567.17,-37.24,0
W-0021,2026-04-13,854.51,328.65,226.42,525.86,0,0,0,4026.75,293.86,0
W-0021,2026-04-20,999.65,128.53,43.29,871.12,0,0,0,4673.42,109.45,0
W-0021,2026-04-27,867.35,168.73,65.7,698.62,0,0,0,5815.01,558.47,0
W-0021,2026-05-04,977.95,351.85,99.28,626.1,1,56.39,2.4,6176.6,75.57,0
W-0021,2026-05-11,935.76,204.47,151.63,731.29,0,0,0,7228.79,113.1,0
W-0021,2026-05-18,497.6,230.05,23.72,267.55,0,0,0,7496.34,523.9,0
W-0021,2026-05-25,978.1,132.69,48.18,845.41,1,71.61,3.04,8202.55,9720.49,0
W-0021,2026-06-01,685.3,268.44,133.33,416.86,0,0,0,8830.22,377.59,0
W-0021,2026-06-08,744.69,210.75,36.68,533.94,0,0,0,9179.91,67.56,0
W-0021,2026-06-15,651.01,214.81,193.05,436.2,1,43.47,1.99,9663.77,758.3,0
W-0021,2026-06-22,1031.36,194.25,82.3,837.11,0,0,0,10228.36,371.02,0
W-0021,2026-06-29,438.63,195.27,32.04,243.36,1,73.71,3.13,10998.01,,0
W-0022,2026-03-30,194.01,432.99,322.78,-238.98,0,0,0,3812.64,-15.66,0
W-0022,2026-04-06,886.79,438.83,250.74,447.96,0,0,0,4454.61,562.66,0
W-0022,2026-04-13,902.29,60.69,0.0,841.6,0,0,0,5085.25,112.76,0
W-0022,2026-04-20,1087.9,192.27,84.17,895.63,0,0,0,5766.8,103.04,0
