earnings_id,worker_id,work_date,employer_id,shift_type,hours_worked,gross_pay_cad,tips_cad,deductions_cad,net_pay_cad,paid_same_day,pay_method
EARN-00053,W-0002,2026-04-09,E-0035,evening,6.3,158.25,8.27,21.89,144.63,0,cash
EARN-00054,W-0002,2026-04-10,E-0035,day,9.2,137.8,2.75,22.27,118.28,1,direct_deposit
EARN-00055,W-0002,2026-04-11,E-0035,evening,6.7,170.37,5.94,24.49,151.82,0,cash
EARN-00056,W-0002,2026-04-12,E-0035,split,8.6,135.78,3.17,15.24,123.71,0,cash
EARN-00057,W-0002,2026-04-14,E-0035,evening,9.1,145.4,3.86,16.42,132.84,0,payroll_card
EARN-00058,W-0002,2026-04-15,E-0035,day,9.2,132.76,4.85,8.97,128.64,1,payroll_card
EARN-00059,W-0002,2026-04-16,E-0035,night,6.7,150.49,4.5,16.83,138.16,0,cheque
EARN-00060,W-0002,2026-04-18,E-0035,evening,6.6,148.54,7.24,20.89,134.89,0,cash
EARN-00061,W-0002,2026-04-21,E-0035,day,6.9,156.64,8.18,10.25,154.57,0,cheque
EARN-00062,W-0002,2026-04-23,E-0035,night,7.0,153.16,3.92,15.39,141.69,0,cash
EARN-00063,W-0002,2026-04-24,E-0035,day,8.9,143.59,7.26,15.78,135.07,0,direct_deposit
EARN-00064,W-0002,2026-04-25,E-0035,evening,5.9,144.68,5.04,15.22,134.5,1,payroll_card
EARN-00065,W-0002,2026-04-27,E-0035,day,9.0,137.57,6.87,24.81,119.63,1,direct_deposit
EARN-00066,W-0002,2026-04-28,E-0035,evening,5.5,163.68,5.61,17.4,151.89,0,cheque
EARN-00067,W-0002,2026-04-29,E-0035,day,7.5,170.28,3.44,12.34,161.38,0,payroll_card
EARN-00068,W-0002,2026-04-30,E-0035,split,9.1,189.5,10.39,19.73,180.16,0,payroll_card
EARN-00069,W-0002,2026-05-01,E-0035,day,8.1,164.29,3.54,8.13,159.7,0,cheque
EARN-00070,W-0002,2026-05-04,E-0035,night,6.2,163.56,7.7,12.49,158.77,0,direct_deposit
EARN-00071,W-0002,2026-05-06,E-0035,day,5.1,138.27,4.88,17.45,125.7,0,cash
EARN-00072,W-0002,2026-05-08,E-0035,day,6.2,174.25,7.12,12.74,168.63,0,payroll_card
EARN-00073,W-0002,2026-05-09,E-0035,night,7.9,180.44,5.33,17.29,168.48,1,direct_deposit
EARN-00074,W-0002,2026-05-12,E-0035,evening,7.4,156.28,4.47,20.0,140.75,1,cash
EARN-00075,W-0002,2026-05-15,E-0035,day,8.8,153.75,6.05,18.63,141.17,0,direct_deposit
EARN-00076,W-0002,2026-05-18,E-0035,evening,8.1,156.72,7.58,10.11,154.19,0,cheque
EARN-00077,W-0002,2026-05-19,E-0035,evening,5.1,171.38,8.35,18.52,161.21,0,payroll_card
EARN-00078,W-0002,2026-05-20,E-0035,day,9.2,164.49,5.98,20.75,149.72,1,cash
EARN-00079,W-0002,2026-05-21,E-0035,evening,5.2,142.23,7.4,22.61,127.02,0,payroll_card
EARN-00080,W-0002,2026-05-22,E-0035,day,7.8,178.74,6.65,9.22,176.17,0,payroll_card
EARN-00081,W-0002,2026-05-23,E-0035,day,5.3,160.65,6.55,23.09,144.11,0,direct_deposit
EARN-00082,W-0002,2026-05-25,E-0035,evening,5.6,169.09,7.28,11.62,164.75,1,cheque
EARN-00083,W-0002,2026-05-27,E-0035,day,8.8,176.99,7.63,11.15,173.47,0,payroll_card
EARN-00084,W-0002,2026-05-28,E-0035,evening,6.5,175.68,9.43,19.01,166.1,1,direct_deposit
EARN-00085,W-0002,2026-05-29,E-0035,evening,9.2,176.6,3.88,23.91,156.57,1,cheque
EARN-00086,W-0002,2026-06-01,E-0035,night,5.3,175.11,9.42,13.24,171.29,0,cash
EARN-00087,W-0002,2026-06-03,E-0035,day,8.5,159.2,5.61,17.57,147.24,0,payroll_card
EARN-00088,W-0002,2026-06-04,E-0035,evening,8.6,185.66,5.97,11.61,180.02,1,direct_deposit
EARN-00089,W-0002,2026-06-06,E-0035,night,7.0,151.07,6.77,20.61,137.23,0,payroll_card
EARN-00090,W-0002,2026-06-10,E-0035,day,6.4,151.63,7.54,18.64,140.53,0,cash
EARN-00091,W-0002,2026-06-11,E-0035,day,6.0,176.28,5.98,9.55,172.71,0,payroll_card
EARN-00092,W-0002,2026-06-12,E-0035,day,7.0,166.99,3.64,20.82,149.81,0,cheque
EARN-00093,W-0002,2026-06-14,E-0035,evening,6.3,171.64,5.54,23.07,154.11,0,payroll_card
EARN-00094,W-0002,2026-06-16,E-0035,day,8.8,142.47,4.7,19.09,128.08,0,cash
EARN-00095,W-0002,2026-06-17,E-0035,evening,5.1,158.95,3.96,24.26,138.65,1,cash
EARN-00096,W-0002,2026-06-18,E-0035,evening,8.1,179.68,7.16,10.88,175.96,0,cash
EARN-00097,W-0002,2026-06-19,E-0035,night,6.2,153.89,8.43,18.47,143.85,0,direct_deposit
EARN-00098,W-0002,2026-06-22,E-0035,night,5.9,139.28,6.36,9.1,136.54,0,direct_deposit
EARN-00099,W-0002,2026-06-23,E-0035,day,7.7,145.11,6.15,13.82,137.44,0,payroll_card
EARN-00100,W-0002,2026-06-24,E-0035,day,8.2,140.76,4.67,23.57,121.86,1,cheque
EARN-00101,W-0002,2026-06-25,E-0035,night,7.8,139.69,6.02,16.71,129.0,0,direct_deposit
EARN-00102,W-0002,2026-06-27,E-0035,day,5.2,148.72,7.89,14.5,142.11,0,payroll_card
EARN-00103,W-0002,2026-06-29,E-0035,day,6.0,176.45,6.11,8.82,173.74,0,payroll_card
EARN-00104,W-0002,2026-06-30,E-0035,day,5.4,155.34,8.09,16.07,147.36,0,direct_deposit
EARN-00105,W-0003,2026-04-02,E-0004,day,5.5,155.63,19.87,12.72,162.78,0,cheque
EARN-00106,W-0003,2026-04-03,E-0004,split,8.0,158.57,31.9,18.84,171.63,0,payroll_card
EARN-00107,W-0003,2026-04-04,E-0004,evening,5.4,164.65,33.53,16.15,182.03,1,cheque
EARN-00108,W-0003,2026-04-06,E-0004,day,6.4,166.13,27.41,23.94,169.6,0,direct_deposit
EARN-00109,W-0003,2026-04-07,E-0004,day,8.0,159.71,34.84,15.69,178.86,0,cash
EARN-00110,W-0003,2026-04-08,E-0004,evening,7.8,182.82,37.53,16.72,203.63,0,cheque
EARN-00111,W-0003,2026-04-09,E-0004,day,7.8,164.39,15.2,24.21,155.38,0,cheque
EARN-00112,W-0003,2026-04-10,E-0004,day,5.6,147.95,13.1,21.59,139.46,0,cheque
EARN-00113,W-0003,2026-04-11,E-0004,day,7.8,138.03,19.82,23.57,134.28,0,cash
EARN-00114,W-0003,2026-04-12,E-0004,day,9.2,173.46,28.32,17.17,184.61,0,cash
EARN-00115,W-0003,2026-04-13,E-0004,evening,7.4,157.85,20.16,22.09,155.92,0,payroll_card
EARN-00116,W-0003,2026-04-15,E-0004,evening,8.9,156.98,27.38,8.0,176.36,1,payroll_card
EARN-00117,W-0003,2026-04-16,E-0004,day,7.8,168.49,37.38,10.26,195.61,1,direct_deposit
EARN-00118,W-0003,2026-04-17,E-0004,day,8.0,183.08,32.02,20.73,194.37,0,cheque
EARN-00119,W-0003,2026-04-18,E-0004,day,8.1,156.47,33.57,20.42,169.62,0,direct_deposit
EARN-00120,W-0003,2026-04-21,E-0004,day,6.8,153.97,17.04,18.83,152.18,0,cheque
EARN-00121,W-0003,2026-04-24,E-0004,evening,7.0,165.18,33.46,13.04,185.6,0,cheque
EARN-00122,W-0003,2026-04-25,E-0004,day,6.4,150.81,25.71,15.52,161.0,1,payroll_card
EARN-00123,W-0003,2026-04-27,E-0004,evening,5.2,147.39,21.85,23.85,145.39,0,direct_deposit
EARN-00124,W-0003,2026-04-29,E-0004,night,5.8,145.83,13.33,22.71,136.45,0,cheque
EARN-00125,W-0003,2026-04-30,E-0004,evening,8.1,153.28,30.69,11.07,172.9,0,payroll_card
EARN-00126,W-0003,2026-05-01,E-0004,day,9.0,152.35,17.76,14.37,155.74,1,payroll_card
EARN-00127,W-0003,2026-05-05,E-0004,day,5.9,166.45,16.88,12.86,170.47,1,direct_deposit
EARN-00128,W-0003,2026-05-06,E-0004,day,6.9,152.87,29.06,16.04,165.89,0,direct_deposit
EARN-00129,W-0003,2026-05-10,E-0004,day,5.6,145.01,21.26,19.56,146.71,0,direct_deposit
EARN-00130,W-0003,2026-05-11,E-0004,evening,8.5,171.52,32.55,18.93,185.14,0,payroll_card
EARN-00131,W-0003,2026-05-13,E-0004,evening,5.7,161.46,14.81,16.94,159.33,0,cheque
EARN-00132,W-0003,2026-05-14,E-0004,evening,8.4,159.75,22.99,21.71,161.03,0,direct_deposit
EARN-00133,W-0003,2026-05-15,E-0004,split,7.1,179.66,39.37,23.51,195.52,1,cash
EARN-00134,W-0003,2026-05-18,E-0004,night,7.6,157.75,22.2,21.37,158.58,1,cheque
EARN-00135,W-0003,2026-05-19,E-0004,evening,8.2,148.52,22.93,10.12,161.33,1,payroll_card
EARN-00136,W-0003,2026-05-21,E-0004,day,8.5,137.54,19.54,24.75,132.33,0,cash
EARN-00137,W-0003,2026-05-22,E-0004,day,5.6,159.82,17.35,18.92,158.25,0,cheque
EARN-00138,W-0003,2026-05-23,E-0004,day,9.3,161.57,17.73,12.03,167.27,0,direct_deposit
EARN-00139,W-0003,2026-05-27,E-0004,day,8.1,171.12,19.1,11.97,178.25,0,cheque
EARN-00140,W-0003,2026-05-28,E-0004,day,7.0,157.93,23.54,11.38,170.09,0,cheque
EARN-00141,W-0003,2026-05-29,E-0004,day,9.2,144.15,28.05,10.85,161.35,1,payroll_card
EARN-00142,W-0003,2026-06-02,E-0004,day,9.4,156.83,14.51,17.15,154.19,0,cheque
EARN-00143,W-0003,2026-06-04,E-0004,evening,7.8,163.92,27.78,13.51,178.19,0,payroll_card
EARN-00144,W-0003,2026-06-05,E-0004,evening,6.7,156.71,27.89,24.95,159.65,0,payroll_card
EARN-00145,W-0003,2026-06-06,E-0004,day,7.7,167.49,25.69,23.34,169.84,1,cheque
EARN-00146,W-0003,2026-06-07,E-0004,day,8.4,151.01,20.31,23.01,148.31,0,payroll_card
EARN-00147,W-0003,2026-06-08,E-0004,evening,7.2,152.83,23.95,21.28,155.5,1,cash
EARN-00148,W-0003,2026-06-09,E-0004,evening,9.4,174.15,36.09,21.21,189.03,0,cash
EARN-00149,W-0003,2026-06-10,E-0004,night,7.2,167.13,35.71,22.55,180.29,1,cash
EARN-00150,W-0003,2026-06-11,E-0004,day,7.9,143.14,12.85,24.17,131.82,0,direct_deposit
EARN-00151,W-0003,2026-06-12,E-0004,night,5.4,158.45,18.52,21.96,155.01,1,cash
EARN-00152,W-0003,2026-06-13,E-0004,evening,9.1,164.54,18.13,20.05,162.62,1,cash
EARN-00153,W-0003,2026-06-15,E-0004,day,7.4,154.54,19.41,20.66,153.29,0,cheque
EARN-00154,W-0003,2026-06-16,E-0004,evening,7.6,155.33,31.35,12.21,174.47,0,cheque
EARN-00155,W-0003,2026-06-19,E-0004,day,6.7,156.82,15.38,16.29,155.91,0,cheque
EARN-00156,W-0003,2026-06-20,E-0004,evening,8.1,145.93,13.94,14.66,145.21,0,cash
EARN-00157,W-0003,2026-06-22,E-0004,night,6.2,162.69,20.1,20.89,161.9,1,cheque
EARN-00158,W-0003,2026-06-23,E-0004,day,6.8,150.32,17.99,15.4,152.91,0,direct_deposit
EARN-00159,W-0003,2026-06-25,E-0004,day,8.8,157.97,23.72,12.41,169.28,1,payroll_card
EARN-00160,W-0003,2026-06-27,E-0004,day,9.0,161.35,23.17,19.92,164.6,0,cheque
EARN-00161,W-0004,2026-04-01,E-0026,day,9.4,153.1,32.33,11.19,174.24,0,direct_deposit
EARN-00162,W-0004,2026-04-03,E-0026,split,8.4,151.84,30.81,11.38,171.27,0,direct_deposit
EARN-00163,W-0004,2026-04-06,E-0026,day,5.8,171.6,44.61,19.87,196.34,0,payroll_card
EARN-00164,W-0004,2026-04-07,E-0026,split,6.6,156.25,26.55,8.07,174.73,1,cash
EARN-00165,W-0004,2026-04-09,E-0026,day,5.3,146.72,27.24,15.45,158.51,0,direct_deposit
EARN-00166,W-0004,2026-04-11,E-0026,day,6.6,162.87,23.3,19.82,166.35,0,cash
EARN-00167,W-0004,2026-04-14,E-0026,evening,6.1,178.26,44.44,17.43,205.27,1,cash
EARN-00168,W-0004,2026-04-15,E-0026,day,5.7,161.62,39.2,8.47,192.35,0,cheque
EARN-00169,W-0004,2026-04-17,E-0026,day,5.3,144.86,29.5,17.78,156.58,1,cheque
EARN-00170,W-0004,2026-04-20,E-0026,day,7.2,131.48,14.36,13.44,132.4,0,cash
EARN-00171,W-0004,2026-04-21,E-0026,day,5.3,165.69,24.17,12.9,176.96,1,cash
EARN-00172,W-0004,2026-04-23,E-0026,split,7.7,131.52,19.67,21.28,129.91,1,cash
EARN-00173,W-0004,2026-04-24,E-0026,night,5.8,146.88,18.95,19.51,146.32,1,payroll_card
EARN-00174,W-0004,2026-04-25,E-0026,day,7.9,166.2,23.06,17.6,171.66,0,direct_deposit
EARN-00175,W-0004,2026-04-27,E-0026,day,6.8,160.99,42.78,9.31,194.46,1,cash
EARN-00176,W-0004,2026-04-28,E-0026,day,8.0,177.23,23.83,12.8,188.26,1,cheque
EARN-00177,W-0004,2026-04-30,E-0026,day,7.6,136.14,36.95,17.83,155.26,0,cheque
EARN-00178,W-0004,2026-05-04,E-0026,evening,5.1,143.02,17.16,20.24,139.94,0,cash
EARN-00179,W-0004,2026-05-05,E-0026,evening,9.3,139.3,17.76,15.89,141.17,0,cheque
EARN-00180,W-0004,2026-05-06,E-0026,night,7.2,158.08,37.94,20.1,175.92,0,cheque
EARN-00181,W-0004,2026-05-07,E-0026,day,6.5,137.68,28.02,9.31,156.39,1,direct_deposit
EARN-00182,W-0004,2026-05-08,E-0026,day,9.0,157.53,33.16,12.82,177.87,0,cash
EARN-00183,W-0004,2026-05-12,E-0026,evening,5.3,149.46,38.5,11.22,176.74,1,payroll_card
EARN-00184,W-0004,2026-05-13,E-0026,day,9.4,174.08,35.26,24.0,185.34,0,cash
EARN-00185,W-0004,2026-05-14,E-0026,day,6.2,126.92,32.59,16.61,142.9,1,cheque
EARN-00186,W-0004,2026-05-15,E-0026,day,5.1,153.61,27.31,23.46,157.46,1,direct_deposit
EARN-00187,W-0004,2026-05-18,E-0026,day,7.2,168.66,37.08,21.06,184.68,0,direct_deposit
EARN-00188,W-0004,2026-05-19,E-0026,day,9.2,150.72,26.49,22.77,154.44,0,cash
EARN-00189,W-0004,2026-05-20,E-0026,evening,7.2,163.86,28.59,17.03,175.42,1,payroll_card
EARN-00190,W-0004,2026-05-22,E-0026,day,9.3,116.19,19.91,16.2,119.9,0,cash
EARN-00191,W-0004,2026-05-23,E-0026,day,5.1,166.58,44.24,9.73,201.09,1,cheque
EARN-00192,W-0004,2026-05-26,E-0026,night,8.5,172.62,40.62,11.93,201.31,0,cheque
EARN-00193,W-0004,2026-05-27,E-0026,day,6.1,142.44,17.6,20.62,139.42,1,payroll_card
EARN-00194,W-0004,2026-05-28,E-0026,day,6.7,132.17,35.45,13.33,154.29,0,cheque
EARN-00195,W-0004,2026-05-29,E-0026,day,7.1,166.14,20.88,13.01,174.01,0,payroll_card
EARN-00196,W-0004,2026-05-30,E-0026,day,6.1,151.67,34.7,24.4,161.97,0,direct_deposit
EARN-00197,W-0004,2026-06-01,E-0026,day,5.7,149.13,16.13,11.97,153.29,0,payroll_card
EARN-00198,W-0004,2026-06-05,E-0026,evening,9.3,162.8,32.84,10.11,185.53,0,cash
EARN-00199,W-0004,2026-06-06,E-0026,day,8.9,125.56,32.65,18.86,139.35,1,cash
EARN-00200,W-0004,2026-06-08,E-0026,day,7.2,153.97,19.18,20.84,152.31,0,direct_deposit
EARN-00201,W-0004,2026-06-09,E-0026,evening,7.6,149.96,37.11,13.4,173.67,0,cash
EARN-00202,W-0004,2026-06-10,E-0026,split,7.1,197.48,42.24,18.45,221.27,0,direct_deposit
EARN-00203,W-0004,2026-06-11,E-0026,night,5.1,126.64,16.89,13.21,130.32,1,direct_deposit
EARN-00204,W-0004,2026-06-12,E-0026,night,5.2,159.61,42.62,10.37,191.86,0,cash
EARN-00205,W-0004,2026-06-15,E-0026,night,6.5,143.07,36.82,23.68,156.21,1,payroll_card
EARN-00206,W-0004,2026-06-18,E-0026,day,8.4,143.85,26.1,8.69,161.26,0,cheque
EARN-00207,W-0004,2026-06-19,E-0026,night,9.3,155.76,33.97,18.77,170.96,1,cash
EARN-00208,W-0004,2026-06-20,E-0026,day,6.2,159.34,34.43,23.55,170.22,0,cheque
EARN-00209,W-0004,2026-06-22,E-0026,evening,8.2,141.13,25.27,12.75,153.65,0,direct_deposit
EARN-00210,W-0004,2026-06-23,E-0026,day,7.3,141.19,24.82,12.93,153.08,0,payroll_card
EARN-00211,W-0004,2026-06-24,E-0026,evening,8.2,135.55,19.63,24.35,130.83,0,payroll_card
EARN-00212,W-0004,2026-06-25,E-0026,day,6.8,129.94,28.13,17.76,140.31,0,cheque
EARN-00213,W-0004,2026-06-26,E-0026,day,8.5,154.45,39.34,18.87,174.92,0,cheque
EARN-00214,W-0004,2026-06-27,E-0026,evening,8.3,155.93,27.44,21.92,161.45,0,cheque
EARN-00215,W-0004,2026-06-29,E-0026,day,6.5,153.76,35.69,21.28,168.17,1,cash
EARN-00216,W-0004,2026-06-30,E-0026,day,6.8,138.69,21.2,12.43,147.46,1,direct_deposit
EARN-00217,W-0005,2026-04-02,E-0035,evening,7.7,129.05,1.09,18.66,111.48,0,cheque
EARN-00218,W-0005,2026-04-03,E-0035,day,8.2,102.3,1.19,20.99,82.5,0,cash
EARN-00219,W-0005,2026-04-06,E-0035,day,7.1,130.2,1.63,15.09,116.74,1,payroll_card
EARN-00220,W-0005,2026-04-08,E-0035,evening,6.9,104.87,0.9,20.39,85.38,1,cash
EARN-00221,W-0005,2026-04-09,E-0035,split,5.2,112.77,0.87,13.22,100.42,0,payroll_card
EARN-00222,W-0005,2026-04-10,E-0035,day,8.4,119.85,0.97,20.98,99.84,0,cash
EARN-00223,W-0005,2026-04-11,E-0035,day,5.1,110.34,1.31,20.01,91.64,0,direct_deposit
EARN-00224,W-0005,2026-04-13,E-0035,night,9.2,86.09,0.7,10.64,76.15,1,payroll_card
EARN-00225,W-0005,2026-04-14,E-0035,day,5.7,113.59,1.44,20.98,94.05,0,cash
EARN-00226,W-0005,2026-04-15,E-0035,split,8.1,109.2,1.19,15.4,94.99,1,direct_deposit
EARN-00227,W-0005,2026-04-16,E-0035,day,7.2,100.53,0.85,8.88,92.5,0,cash
EARN-00228,W-0005,2026-04-17,E-0035,evening,8.3,100.14,0.75,15.69,85.2,1,cheque
EARN-00229,W-0005,2026-04-21,E-0035,day,6.0,105.98,1.0,12.46,94.52,1,cash
EARN-00230,W-0005,2026-04-22,E-0035,split,8.7,99.1,0.76,13.55,86.31,1,payroll_card
EARN-00231,W-0005,2026-04-27,E-0035,day,9.1,99.45,0.9,18.19,82.16,0,cash
EARN-00232,W-0005,2026-04-28,E-0035,day,5.9,117.79,0.71,24.88,93.62,1,cash
EARN-00233,W-0005,2026-04-30,E-0035,day,7.9,106.04,1.25,14.6,92.69,0,cheque
EARN-00234,W-0005,2026-05-01,E-0035,day,7.6,112.53,0.71,15.27,97.97,0,cash
EARN-00235,W-0005,2026-05-02,E-0035,day,5.8,91.05,1.17,13.56,78.66,0,direct_deposit
EARN-00236,W-0005,2026-05-06,E-0035,evening,6.9,120.51,1.21,24.28,97.44,0,cash
EARN-00237,W-0005,2026-05-07,E-0035,day,5.3,110.46,0.89,15.54,95.81,0,direct_deposit
EARN-00238,W-0005,2026-05-11,E-0035,evening,5.6,104.6,0.8,16.07,89.33,0,payroll_card
EARN-00239,W-0005,2026-05-13,E-0035,day,5.8,124.91,1.64,13.85,112.7,0,cheque
EARN-00240,W-0005,2026-05-14,E-0035,day,6.3,105.46,1.23,9.72,96.97,1,payroll_card
EARN-00241,W-0005,2026-05-15,E-0035,day,9.4,99.95,1.07,14.22,86.8,0,payroll_card
EARN-00242,W-0005,2026-05-16,E-0035,day,6.6,120.5,0.91,16.95,104.46,0,cheque
EARN-00243,W-0005,2026-05-18,E-0035,evening,7.7,104.28,1.13,24.25,81.16,1,cheque
EARN-00244,W-0005,2026-05-19,E-0035,split,7.7,110.89,0.87,14.12,97.64,0,direct_deposit
EARN-00245,W-0005,2026-05-21,E-0035,day,6.0,95.69,0.93,9.04,87.58,1,cash
EARN-00246,W-0005,2026-05-22,E-0035,night,6.8,89.47,0.73,21.79,68.41,1,cheque
EARN-00247,W-0005,2026-05-24,E-0035,split,7.6,119.8,1.43,20.38,100.85,0,cash
EARN-00248,W-0005,2026-05-26,E-0035,day,7.1,122.01,0.73,18.94,103.8,1,cash
EARN-00249,W-0005,2026-05-28,E-0035,day,8.3,107.76,0.93,9.26,99.43,0,cheque
EARN-00250,W-0005,2026-05-29,E-0035,day,5.1,126.67,1.04,10.23,117.48,1,direct_deposit
EARN-00251,W-0005,2026-05-30,E-0035,split,8.7,110.44,0.73,8.59,102.58,0,cheque
EARN-00252,W-0005,2026-06-01,E-0035,day,5.7,135.25,1.73,11.41,125.57,0,cheque
EARN-00253,W-0005,2026-06-02,E-0035,day,5.1,106.82,0.69,10.84,96.67,1,cheque
EARN-00254,W-0005,2026-06-03,E-0035,evening,8.9,105.29,0.73,21.92,84.1,1,payroll_card
EARN-00255,W-0005,2026-06-04,E-0035,evening,7.2,116.69,0.99,23.27,94.41,0,cash
EARN-00256,W-0005,2026-06-06,E-0035,split,5.1,126.01,1.65,11.94,115.72,1,direct_deposit
EARN-00257,W-0005,2026-06-07,E-0035,day,6.0,94.95,1.09,12.1,83.94,0,cheque
EARN-00258,W-0005,2026-06-09,E-0035,day,9.4,107.81,1.41,11.16,98.06,0,cheque
EARN-00259,W-0005,2026-06-11,E-0035,day,7.5,107.79,1.34,24.54,84.59,1,payroll_card
EARN-00260,W-0005,2026-06-13,E-0035,split,9.1,144.79,0.82,16.09,129.52,1,cash
